,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
4300,"Comcast 2.0% Ex Sb 101529""Zone",Us Domestic,Comcast Holdings Corp,Common Stock,Us Domestic,Corp,-1
4335,Community Healthcare Trust I,Reit,Community Healthcare Trust Inc,Common Stock,Reit,Reit,-1
4343,Compass Diversified Holdings,Mlp,Compass Diversified Holdings,Common Stock,Common Stock,Common Stock,-1
4418,Consumer Staples Spdr,Etf,Consumer Staples Select Sector Spdr® Fund,Etf,Etp,Mutual Fund,-1
4442,Convatec Group Plc-Unsp Adr,Adr,Convatec Group Plc Adr,Common Stock,Adr,Depositary Receipt,-1
4467,Copper Mountain Mining-Cdi,Cdi,Copper Mountain Mining Corporation,Common Stock,Cdi,Depositary Receipt,-1
4491,Corecivic Inc,Reit,Corecivic Inc,Common Stock,Common Stock,Common Stock,-1
4493,Corem Property Group Ab-Pref,Preference,Corem Property Group Ab (Publ),Common Stock,Preference,Preference,-1
4494,Corenergy Infrastructure Tru,Reit,Corenergy Infras,Common Stock,Reit,Reit,-1
4512,Coronado Global Resource-Cdi,Cdi,Coronado Global Resources Inc,Common Stock,Cdi,Depositary Receipt,-1
4519,Corporate Office Properties,Reit,Corporate Office Properties Trust,Common Stock,Reit,Reit,-1
4557,Costamare Inc,Preferred Stock,Costamare Inc,Common Stock,Common Stock,Common Stock,-1
4558,Costamare Inc,Preferred Stock,Costamare Inc,Common Stock,Common Stock,Common Stock,-1
4559,Costamare Inc,Preferred Stock,Costamare Inc,Common Stock,Common Stock,Common Stock,-1
4581,Cousins Properties Inc,Reit,Cousins Properties Incorporated,Common Stock,Reit,Reit,-1
4607,Cqs New City High Yield Fund,Closed-End Fund,Cqs New City High Yield Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
4658,Crestwood Equity Partners Lp,Mlp,Crestwood Equity Partners Lp,Common Stock,Mlp,Partnership Shares,-1
4664,Crh Plc-Sponsored Adr,Adr,Crh Plc Adr,Common Stock,Adr,Depositary Receipt,-1
4678,Cromwell Property Group,Reit,Cromwell Property Group,Common Stock,Reit,Reit,-1
4686,Cross Timbers Royalty Trust,Royalty Trst,Cross Timbers Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
4688,Crossamerica Partners Lp,Mlp,Crossamerica Partners Lp,Common Stock,Mlp,Partnership Shares,-1
4743,Ctl 6 3/4 06/15/57 Pfd,Preferred Stock,Qwest Corp 6 75 Notes Expiry 2057,Common Stock,Public,Preferred Stock,-1
4786,Custodian Reit Plc,Reit,Custodian Reit Plc,Common Stock,Reit,Reit,-1
4791,Cv Holdings Inc,Reit,Cv Holdings Inc,Common Stock,Reit,Reit,-1
4820,Cyclacel Pharmaceuticals Inc Cnv Exch 6.0% Pfd,Convpreferred,Cyclacel Pharmaceuticals Inc,Preferred Stock,Public,Preferred Stock,-1
4831,Cymbria Corp-A,Closed-End Fund,Cymbria Corporation,Common Stock,Closed-End Fund,Mutual Fund,-1
4899,Daiwa Etf-Topix,Etf,Daiwa Topix Listed,Etf,Etp,Mutual Fund,-1
4903,Daiwa Office Investment Corp,Reit,Daiwa Office Investment Corp,Common Stock,Reit,Reit,-1
4933,Daqo New Energy Corp-Adr,Adr,Daqo New Energy Corp Adr,Common Stock,Adr,Depositary Receipt,-1
4945,Dasin Retail Trust,Unit,Dasin Retail Trust,Common Stock,Unit,Unit,-1
4968,Davis Select Financial Etf,Etf,Davis Select Financial Etf,Etf,Etp,Mutual Fund,-1
4969,Davis Select International,Etf,Davis Select International Etf,Etf,Etp,Mutual Fund,-1
4976,Db Base Metals Double Long,Etn,Db Base Metals Double Long Etn,Etf,Etp,Mutual Fund,-1
4977,Db Base Metals Double Short,Etn,Db Base Metals Double Short Etn,Etf,Etp,Mutual Fund,-1
4978,Db Crude Oil Double Short,Etn,,,Etp,Mutual Fund,-1
5036,Delek Logistics Partners Lp,Mlp,Delek Logistics Partners Lp,Common Stock,Mlp,Partnership Shares,-1
5086,Derwent London Plc,Reit,Derwent London Plc,Common Stock,Reit,Reit,-1
5143,Diageo Plc-Sponsored Adr,Adr,Diageo Plc Adr,Common Stock,Adr,Depositary Receipt,-1
5160,Diamondrock Hospitality Co,Reit,Diamondrock Hospitality Company,Common Stock,Reit,Reit,-1
5162,Diana Shipping Inc,Preferred Stock,Diana Shipping Inc,Common Stock,Common Stock,Common Stock,-1
5217,Direxion Daily Energy Bear 2,Etf,,,Etp,Mutual Fund,-1
5232,Distillate Us Fundamental St,Etf,Distillate Us Fundamental Stability & Value,Etf,Etp,Mutual Fund,-1
5239,Diverse Income Trust Plc/The,Closed-End Fund,Diverse Income Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
5241,Dividend 15 Split Corp Ii-A,Closed-End Fund,Dividend 15 Split Corp Ii,Common Stock,Closed-End Fund,Mutual Fund,-1
5243,Dividend Growth Split Corp-A,Closed-End Fund,Dividend Growth Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
5247,Djerriwarrh Investments Limited,Closed-End Fund,Djerriwarrh Investments Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
5307,Dorchester Minerals Lp,Mlp,Dorchester Minerals Lp,Common Stock,Ltd Part,Partnership Shares,-1
5309,Doriemus Plc-Cdi,Cdi,Doriemus Plc,Common Stock,Cdi,Depositary Receipt,-1
5322,Douglas Emmett Inc,Reit,Douglas Emmett Inc,Common Stock,Reit,Reit,-1
5325,Douyu International Hold-Adr,Adr,Douyu International Holdings,Common Stock,Adr,Depositary Receipt,-1
5331,Downing One Vct Plc,Closed-End Fund,Downing One Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
5338,Dr Reddy'S Laboratories-Adr,Adr,Dr. Reddy’S Laboratories Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
5339,Draegerwerk Ag - Pref,Preference,Draegerwerk Vzo O.N.,Common Stock,Preference,Preference,-1
5352,Drdgold Ltd-Sponsored Adr,Adr,Drdgold Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
5372,Dte Energy Company,Common Stock,,,Public,Preferred Stock,-1
5387,Duke Energy Corp,Common Stock,,,Public,Preferred Stock,-1
5401,Dunedin Income Growth Inv Tr,Closed-End Fund,Dunedin Income Growth Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
5415,Duxton Water Ltd,Closed-End Fund,Duxton Water Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
5420,Dws Municipal Income Trust,Closed-End Fund,Dws Municipal Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
5430,Dynagas Lng Partners Lp,Mlp,Dynagas Lng Partners Lp,Common Stock,Mlp,Partnership Shares,-1
5431,Dynagas Lng Partners Lp,Preferred Stock,Dynagas Lng Partners Lp,Common Stock,Mlp,Partnership Shares,-1
5432,Dynagas Lng Partners Lp,Preferred Stock,Dynagas Lng Partners Lp,Common Stock,Mlp,Partnership Shares,-1
5445,Dynex Capital Inc,Reit,Dynex Capital Inc,Common Stock,Reit,Reit,-1
5452,E Split Corp - A,Closed-End Fund,E Split Corp Class A,Common Stock,Closed-End Fund,Mutual Fund,-1
5459,Eagle Capital Growth Fund,Closed-End Fund,Eagle Capital Growth Fund Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
5473,Eagle Point Credit Co Inc,Closed-End Fund,Eagle Point Credit Company Inc,Common Stock,Public,Preferred Stock,-1
5474,Eagle Point Credit Co Inc,Preferred Stock,Eagle Point Credit Company Inc,Common Stock,Public,Preferred Stock,-1
5500,Eastgroup Properties Inc,Reit,Eastgroup Properties Inc,Common Stock,Reit,Reit,-1
5518,Eaton Vance Ca Muni Inc Trst,Closed-End Fund,Eaton Vance California Mit,Common Stock,Closed-End Fund,Mutual Fund,-1
5519,Eaton Vance Municipal Income,Closed-End Fund,Eaton Vance Municipal Income Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
5520,Eaton Vance Senior Income Tr,Closed-End Fund,Eaton Vance Senior Income Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
5529,Ecclesiastical Insurance Office Plc 8.625% Non Cum Irrd Prf,Preferred Stock,Ecclesiastical Insurance Office Plc,Common Stock,Public,Preferred Stock,-1
5561,Economic Investmnt Trust Ltd,Closed-End Fund,Economic Investment Trust Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
5569,Edap Tms Sa -Adr,Adr,Edap Tms Sa,Common Stock,Adr,Depositary Receipt,-1
5581,Edge Performance Vct Plc-H,Closed-End Fund,Edge Performance Vct Plc H,Common Stock,Closed-End Fund,Mutual Fund,-1
5587,Edinburgh Investment Trust,Closed-End Fund,Edinburgh Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
5588,Edinburgh Worldwide Inv Tr,Closed-End Fund,Edinburgh Worldwide Investment Trust Plc,Etf,Closed-End Fund,Mutual Fund,-1
5593,Ediston Property Investment,Reit,Ediston Ppty Invest Co Plc,Common Stock,Reit,Reit,-1
5654,Elanor Investor Group,Stapled Security,Elanor Investors Group,Common Stock,Stapled Security,Unit,-1
5655,Elanor Retail Property Fund,Reit,Elanor Retail Property Fund,Common Stock,Reit,Reit,-1
5670,Electra Private Equity Plc,Closed-End Fund,Unbound Group Plc,Common Stock,Common Stock,Common Stock,-1
5697,Elements Spectrum Etn,Etn,Elements Linked To Spectrum Large Cap U.S. Sector Momentum Index,Etf,,,-1
5710,Ellerston Asian Investments,Closed-End Fund,Ellerston Asian Invests Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
5713,Ellington Financial Inc,Reit,Ellington Financial Llc,Common Stock,Reit,Reit,-1
5714,Ellington Residential Mortga,Reit,Ellington Residential Mortgage,Common Stock,Reit,Reit,-1
5718,Ellsworth Growth And Income,Closed-End Fund,Ellsworth Convertible Growth & If,Common Stock,Closed-End Fund,Mutual Fund,-1
5743,Embraer Sa-Spon Adr,Adr,Embraer Sa Adr,Common Stock,Adr,Depositary Receipt,-1
5795,Empire State Realty Op Lp-Es,Ltd Part,Empire State Realty Op Lp Es,Common Stock,Ltd Part,Partnership Shares,-1
5796,Empire State Realty Trust-A,Reit,Empire State Realty Trust Inc,Common Stock,Reit,Reit,-1
5798,Empiric Student Property Plc,Reit,Empiric Student Property Plc,Common Stock,Reit,Reit,-1
5819,Endava Plc- Spon Adr,Adr,Endava Ltd,Common Stock,Adr,Depositary Receipt,-1
5861,Energy Select Sector Spdr,Etf,Energy Select Sector Spdr® Fund,Etf,Etp,Mutual Fund,-1
5865,Energy Transfer Lp,Mlp,Energy Transfer Equity Lp,Common Stock,Mlp,Partnership Shares,-1
5889,Enlink Midstream Llc,Unit,Enlink Midstream Llc,Common Stock,Unit,Unit,-1
5911,Enstar Group Ltd,Common Stock,,,Public,Preferred Stock,-1
5922,Entergy Arkansas Inc,Preferred Stock,Entergy Arkansas Llc Deb 2066,Common Stock,Public,Preferred Stock,-1
5923,Entergy Arkansas Inc,Preferred Stock,Entergy Arkansas Llc Deb 2066,Common Stock,Public,Preferred Stock,-1
5924,Entergy Arkansas Inc,Preferred Stock,Entergy Arkansas Llc Deb 2066,Common Stock,Public,Preferred Stock,-1
5929,Entergy Mississippi Inc,Preferred Stock,Entergy Mississippi Llc,Common Stock,Public,Preferred Stock,-1
5930,Entergy New Orleans Inc,Preferred Stock,Entergy New Orleans Inc Pref,Common Stock,Public,Preferred Stock,-1
5940,Enterprise Products Partners,Mlp,Enterprise Products Partners Lp,Common Stock,Mlp,Partnership Shares,-1
5991,Epr Properties,Reit,Epr Properties,Common Stock,Reit,Reit,-1
6016,Equity Lifestyle Properties,Reit,Equity Lifestyle Properties Inc,Common Stock,Reit,Reit,-1
6052,Escon Japan Reit Investment,Reit,Escon Japan Reit Investment Corp,Common Stock,Reit,Reit,-1
6104,Eurocastle Investment Ltd,Closed-End Fund,Eurocastle Investment Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
6123,European Metals Hlds Lt-Cdi,Cdi,European Metals Holdings,Common Stock,Cdi,Depositary Receipt,-1
6267,Faircourt Gold Income Corp,Closed-End Fund,Faircourt Gold Income Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
6296,Fanhua Inc-Sponsored Adr,Adr,Fanhua Inc,Common Stock,Adr,Depositary Receipt,-1
6314,Farmland Partners Inc,Reit,Farmland Partners Inc,Common Stock,Reit,Reit,-1
6321,Fast Retailing Co Ltd-Hdr,Hdr,Fast Retailing Co Drc,Common Stock,Hdr,Depositary Receipt,-1
6363,Ferrellgas Partners-Lp,Mlp,,,Common Stock,Common Stock,-1
6373,Fi Enhanced Large Cap Growth,Etn,Ubs Ag Fi Enhanced Large Cap Growth Etn,Etf,Etp,Mutual Fund,-1
6380,Fidelity Asian Values Plc,Closed-End Fund,Fidelity Asian Values,Common Stock,Closed-End Fund,Mutual Fund,-1
6381,Fidelity Financials Etf,Etf,Fidelity® Msci Financials Index Etf,Etf,Etp,Mutual Fund,-1
6382,Fidelity Health Care Etf,Etf,Fidelity® Msci Health Care Index Etf,Etf,Etp,Mutual Fund,-1
6383,Fidelity International H Q I,Etf,Fidelity International High Quality Index Etf,Etf,Etp,Mutual Fund,-1
6384,Fidelity Japan Trust Plc,Closed-End Fund,Fidelity Japanese Values Plc Ord,Common Stock,Closed-End Fund,Mutual Fund,-1
6387,Fidelity Real Estate Etf,Etf,Fidelity® Msci Real Estate Index Etf,Etf,Etp,Mutual Fund,-1
6388,Fidelity Special Values Plc,Closed-End Fund,Fidelity Special Values,Common Stock,Closed-End Fund,Mutual Fund,-1
6497,First Industrial Realty Tr,Reit,First Industrial Realty Trust Inc,Common Stock,Reit,Reit,-1
6527,First Ship Lease Trust,Unit,First Ship Lease Trust,Common Stock,Unit,Unit,-1
6534,First Trust Alphadex Europea,Etf,First Trust Alphadex European Dividend Common,Common Stock,Etp,Mutual Fund,-1
6535,First Trust Canada,Etf,,,Etp,Mutual Fund,-1
6536,First Trust Capital Strength,Etf,First Trust Capital Strength Etf,Etf,Etp,Mutual Fund,-1
6537,First Trust Chindia Etf,Etf,First Trust Chindia Etf,Etf,Etp,Mutual Fund,-1
6538,First Trust Cloud Computing,Etf,First Trust Cloud Computing Etf,Etf,Etp,Mutual Fund,-1
6539,First Trust Consumer Discret,Etf,First Trust Consumer Discretionary Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6540,First Trust Developed Market,Etf,First Trust Developed Markets Ex-Us Small Cap Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6541,First Trust Dorsey Wright Mo,Etf,First Trust Rba Quality Income,Etf,Etp,Mutual Fund,-1
6542,First Trust Dow 30 Eql Wght,Etf,First Trust Dow 30 Equal Weight Etf,Etf,Etp,Mutual Fund,-1
6543,First Trust Energy Alphadex,Etf,First Trust Energy Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6547,First Trust India Nifty 50 E,Etf,First Trust India Nifty 50 Equal Weight Etf,Etf,Etp,Mutual Fund,-1
6548,First Trust Indxx Global Agr,Etf,First Trust Indxx Global Agriculture Etf,Etf,Etp,Mutual Fund,-1
6549,First Trust Indxx Nextg Etf,Etf,First Trust Nasdaq Smartphone,Etf,Etp,Mutual Fund,-1
6550,First Trust International Eq,Etf,First Trust International Equity Opportunities Etf,Etf,Etp,Mutual Fund,-1
6551,First Trust Japan,Etf,First Trust Japan Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6553,First Trust Materials Alphad,Etf,First Trust Materials Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6555,First Trust Multi Cap Value,Etf,First Trust Multi Cap Value Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6556,First Trust Municipal High I,Etf,First Trust Municipal High Income Etf,Etf,Etp,Mutual Fund,-1
6557,First Trust Nasdaq Bank Etf,Etf,First Trust Nasdaq Bank Etf,Etf,Etp,Mutual Fund,-1
6558,First Trust Nasdaq Global Au,Etf,First Trust S-Network Future Vehicles & Technology Etf,Etf,Etp,Mutual Fund,-1
6559,First Trust Nasdaq Retail Et,Etf,First Trust Nasdaq Retail Etf,Etf,Etp,Mutual Fund,-1
6560,First Trust Natural Gas Etf,Etf,First Trust Natural Gas Etf,Etf,Etp,Mutual Fund,-1
6561,First Trust Rba American Ind,Etf,First Trust Rba American Industrial Renaissancetm Etf,Etf,Etp,Mutual Fund,-1
6564,First Trust Senior Loan Etf,Etf,First Trust Senior Loan Fund,Etf,Etp,Mutual Fund,-1
6566,First Trust Strategic Income,Etf,First Trust Strategic Income Etf,Etf,Etp,Mutual Fund,-1
6567,First Trust Technology Alpha,Etf,First Trust Technology Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6568,First Trust Us Equity Income,Etf,First Trust Us Equity Income Ucits Etf Class A Gbp,Etf,Etp,Mutual Fund,-1
6569,First Trust Utilities Alphad,Etf,First Trust Utilities Alphadex® Fund,Etf,Etp,Mutual Fund,-1
6570,First Trust Value Line Divid,Etf,First Trust Alphadex Us Dividend Common,Common Stock,Etp,Mutual Fund,-1
6571,First Trust Water Etf,Etf,First Trust Water Etf,Etf,Etp,Mutual Fund,-1
6599,Flagship Investments Ltd,Closed-End Fund,Flagship Investments Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
6620,Flexshares Real Assets Fund,Etf,Flexshares Real Assets Allocation Index Fund,Etf,Etp,Mutual Fund,-1
6662,Fonterra Shareholders Fund,Unit,Fonterra Shareholders Fund,Common Stock,Unit,Unit,-1
6670,Forager Australian Shares Fd,Closed-End Fund,Forager Australian Shares Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
6682,Foresight Solar Fund Plc,Closed-End Fund,Foresight Solar Fund Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
6693,Formula Folios Hedged Growth,Etf,Northern Lights Fund Trust Iv - Formulafolios Hedged Growth Etf,Etf,Etp,Mutual Fund,-1
6694,Formula Systems (1985) Ltd,Common Stock,Formula Systems 1985 Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
6710,Fortress Biotech Inc,Common Stock,Fortress Biotech Inc Pref Series A,Preferred Stock,Public,Preferred Stock,-1
6715,Fortress Reit Ltd-A,Reit,Fortress Income Fund Ltd,Common Stock,Reit,Reit,-1
6775,Franklin Universal Trust,Closed-End Fund,Franklin Universal Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
6783,Frasers Hospitality Trust,Stapled Security,Frasers Hospitality Trust,Common Stock,Stapled Security,Unit,-1
6784,Frasers Logistics & Commerci,Reit,Frasers Logistics & Commercial Trust,Common Stock,Reit,Reit,-1
6824,Frey,Reit,Frey Sa,Common Stock,Reit,Reit,-1
6921,Fundsmith Emerging Eq Trust,Closed-End Fund,Fundsmith Emerging Equities Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
6947,Futu Holdings Ltd-Adr,Adr,Futu Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
6966,Gabelli Multimedia Trust Inc,Closed-End Fund,Gabelli Multimedia Mutual Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
7051,Gaslog Ltd,Preferred Stock,,,Common Stock,Common Stock,-1
7061,Gatx Corp,Common Stock,,,Public,Preferred Stock,-1
7075,Gbl X Msci China Real Estate,Etf,Global X Msci China Real Estate Etf,Etf,Etp,Mutual Fund,-1
7082,Gcp Asset Backed Income Fund,Closed-End Fund,Gcp Asset Backed Income Fund Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
7085,Gds Holdings Ltd - Adr,Adr,Gds Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
7114,General American Investors,Closed-End Fund,General American Investors Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
7138,Genesis Energy L.P.,Mlp,Genesis Energy Lp,Common Stock,Mlp,Partnership Shares,-1
7179,Geo Group Inc/The,Reit,Geo Group Inc,Common Stock,Common Stock,Common Stock,-1
7209,Getty Realty Corp,Reit,Getty Realty Corporation,Common Stock,Reit,Reit,-1
7257,Gladstone Commercial Corp,Reit,Gladstone Commercial Corporation,Common Stock,Reit,Reit,-1
7259,Gladstone Land Corp,Reit,,,Public,Preferred Stock,-1
7272,Glennon Small Cos Ltd,Closed-End Fund,Glennon Small Companies Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
7296,Global Dividend Growth Split,Closed-End Fund,Global Dividend Growth Split Corp Class A,Common Stock,Closed-End Fund,Mutual Fund,-1
7326,Global Investments Ltd,Closed-End Fund,Global Investments Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
7335,Global Medical Reit Inc,Reit,Global Medical Reit Inc,Common Stock,Reit,Reit,-1
7337,Global Net Lease Inc,Reit,Global Net Lease Inc,Common Stock,Reit,Reit,-1
