,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
10075,Kingsland Global Ltd-Cdi,Cdi,Kingsland Global Ltd,Common Stock,Cdi,Depositary Receipt,-1
10116,Kite Realty Group Trust,Reit,Kite Realty Group Trust,Common Stock,Reit,Reit,-1
10125,Kkr Real Estate Finance Trus,Reit,Kkr Real Estate Finance Trust Inc,Common Stock,Reit,Reit,-1
10147,Knot Offshore Partners Lp,Mlp,Knot Offshore Partners Lp,Common Stock,Mlp,Partnership Shares,-1
10198,Koninklijke Philips Nvr- Ny,Ny Reg Shrs,Koninklijke Philips Nv Adr,Common Stock,Ny Reg Shrs,Depositary Receipt,-1
10214,Kore Potash Plc - Cdi,Cdi,Kore Potash Ltd Drc,Common Stock,Cdi,Depositary Receipt,-1
10328,Ladder Capital Corp-Reit,Reit,Ladder Capital Corp Class A,Common Stock,Reit,Reit,-1
10357,Lamar Advertising Co-A,Reit,Lamar Advertising Company,Common Stock,Reit,Reit,-1
10369,Land Securities Group Plc,Reit,Land Securities Group Plc,Common Stock,Reit,Reit,-1
10379,Langham Hospitality Inv -Ss,Stapled Security,Langham Hospitality Invest Ltd,Common Stock,Stapled Security,Unit,-1
10404,Lasalle Logiport Reit,Reit,Lasalle Logiport Reit,Common Stock,Reit,Reit,-1
10406,Latam Airlines Group-Sp Adr,Adr,Latam Airlines Group Sa Adr,Common Stock,Adr,Depositary Receipt,-1
10424,Law Debenture Corp Plc-Ord,Closed-End Fund,Law Debenture Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
10444,Leadershares Alphafactor Us,Etf,Leadersharestm Alphafactor® Us Core Equity Etf,Etf,Etp,Mutual Fund,-1
10486,Leju Holdings Ltd-Adr,Adr,Leju Holdings Limited,Common Stock,Adr,Depositary Receipt,-1
10494,Lendlease Group,Stapled Security,Lend Lease Group,Common Stock,Stapled Security,Unit,-1
10519,Leverage Shares 2X Facebook,Etn,Leverage Shares 2X Facebook Etc A Gbp,Etf,Etp,Mutual Fund,-1
10531,Lexinfintech Holdings L-Adr,Adr,Lexinfintech Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
10533,Lexington Realty Trust,Reit,Lxp Industrial Trust,Common Stock,Reit,Reit,-1
10539,Lg Display Co Ltd-Adr,Adr,Lg Display Co Ltd,Common Stock,Adr,Depositary Receipt,-1
10569,Liberty Media Corp-Braves A,Tracking Stk,Liberty Media Corp Braves A,Common Stock,Tracking Stk,Common Stock,-1
10583,Life Storage Inc,Reit,Life Storage Inc,Common Stock,Reit,Reit,-1
10585,Life360 Inc-Cdi,Cdi,Life360 Inc,Common Stock,Cdi,Depositary Receipt,-1
10642,Lindsell Train Inv Trust,Closed-End Fund,Lindsell Train Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
10665,Lion Selection Group Limited,Closed-End Fund,Lion Selection Group Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
10675,Lippo Malls Indonesia Retail,Reit,Lippo Malls Indonesia Retail Trust,Common Stock,Reit,Reit,-1
10681,Listed Index Fund China A Sh,Etf,Listed Index Fund China A Share Csi300,Etf,Etp,Mutual Fund,-1
10726,Lms Capital Plc,Closed-End Fund,Lms Capital Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
10749,Loma Negra Cia Ind-Spon Adr,Adr,Loma Negra Compania Industrial Argentina Sa Adr,Common Stock,Adr,Depositary Receipt,-1
10759,Londonmetric Property Plc,Reit,Londonmetric Property Plc,Common Stock,Reit,Reit,-1
10802,Lowell Resources Fund,Closed-End Fund,Lowell Resources Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
10803,Lowland Investment Company,Closed-End Fund,Lowland Investment Co,Common Stock,Closed-End Fund,Mutual Fund,-1
10814,Ltc Properties Inc,Reit,Ltc Properties Inc,Common Stock,Reit,Reit,-1
10823,Luckin Coffee Inc - Adr,Adr,Luckin Coffee,Common Stock,Adr,Depositary Receipt,-1
10877,Lxi Reit Plc,Reit,Lxi Reit Plc,Common Stock,Reit,Reit,-1
10888,Lyxor Msci India,Etf,Multi Units France - Lyxor Msci India Ucits Etf,Etf,Etp,Mutual Fund,-1
10906,Mackenzie Canadian St Fixed,Etf,Mackenzie Canadian Short Term Fixed Income Etf,Etf,Etp,Mutual Fund,-1
10907,Mackenzie China A-Shares Csi,Etf,Mackenzie China A-Shares Csi 300 Index Etf,Etf,Etp,Mutual Fund,-1
10913,Macquarie Bank Ltd,Bond,,,Australian,Corp,-1
10914,Macquarie Group Capital Notes,Preferred Stock,Macquarie Group Ltd Pref C,Common Stock,Public,Preferred Stock,-1
10915,Macquarie Group Ltd,Common Stock,Macquarie Group Limited Frn Exch Sub 03/2024 Aud1000,Common Stock,Public,Preferred Stock,-1
10916,Macquarie Group Ltd,Preferred Stock,Macquarie Group Limited Frn Exch Sub 03/2024 Aud1000,Common Stock,Public,Preferred Stock,-1
10948,Magellan Midstream Partners,Mlp,Magellan Midstream Partners Lp,Common Stock,Mlp,Partnership Shares,-1
10982,Maiden Holdings Ltd,Preferred Stock,Maiden Holdings Ltd,Common Stock,Public,Preferred Stock,-1
10983,Maiden Holdings North America Ltd,Preferred Stock,Maiden Holdings North America Ltd Elks,Common Stock,Public,Preferred Stock,-1
10997,Majedie Investments Plc-Ord,Closed-End Fund,Majedie Investments,Common Stock,Closed-End Fund,Mutual Fund,-1
11079,Mapletree Commercial Trust,Reit,Mapletree Commercial Trust,Common Stock,Reit,Reit,-1
11081,Mapletree Logistics Trust,Reit,Mapletree Logistics Trust,Common Stock,Reit,Reit,-1
11094,Marco Polo Marine Ltd - Spinoff,Tender,,,Equity Wrt,Warrant,-1
11107,Marine Petroleum Trust,Royalty Trst,Marine Petroleum Trust,Common Stock,Royalty Trst,Common Stock,-1
11117,Market Access Rgr Intl Cmdty,Etf,Market Access Rogers International Commodity Index Ucits Etf,Etf,Etp,Mutual Fund,-1
11150,Martin Midstream Partners Lp,Mlp,Martin Midstream Partners Lp,Common Stock,Mlp,Partnership Shares,-1
11198,Materialise Nv-Adr,Adr,Materialise Nv,Common Stock,Adr,Depositary Receipt,-1
11199,Materials Select Sector Spdr,Etf,Materials Select Sector Spdr® Fund,Etf,Etp,Mutual Fund,-1
11227,Maven Income And Growth Vct4,Closed-End Fund,Maven Income And Growth Vct 4 Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
11248,Maxus Realty Trust Inc,Reit,Maxus Realty Trust Inc,Common Stock,Reit,Reit,-1
11254,Mayur Resources Ltd-Cdi,Cdi,Mayur Resources Ltd,Common Stock,Cdi,Depositary Receipt,-1
11288,Mckesson Europe Ag - Adr,Adr,Mckesson Europe Ag Adr,Common Stock,Adr,Depositary Receipt,-1
11316,Medalist Diversified Reit In,Reit,Medalist Diversified Reit Inc,Common Stock,Reit,Reit,-1
11346,Mediclinic Internatio-Un Adr,Adr,Mediclinic International Plc Adr,Common Stock,Adr,Depositary Receipt,-1
