,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
11157,MARUO CALCIUM CO LTD,COMMON,Maruo Calcium Co Ltd,Common Stock,Common Stock,Common Stock
11158,MARUSAN SECURITIES CO LTD,COMMON,Marusan Securities Co Ltd,Common Stock,Common Stock,Common Stock
11159,MARUTI SUZUKI INDIA LTD,COMMON,Maruti Suzuki India Limited,Common Stock,Common Stock,Common Stock
11160,MARUWA CO LTD,COMMON,Maruwa Co Ltd,Common Stock,Common Stock,Common Stock
11161,MARUZEN CHI HOLDINGS CO LTD,COMMON,Maruzen CHI Holdings Co Ltd,Common Stock,Common Stock,Common Stock
11162,MARVELL TECHNOLOGY GROUP LTD,COMMON,Marvell Technology Group Ltd,Common Stock,Common Stock,Common Stock
11163,MARVELOUS INC,COMMON,Marvelous Inc,Common Stock,Common Stock,Common Stock
11164,MARY CHIA HOLDINGS LTD,COMMON,,,Common Stock,Common Stock
11165,MARYJANE GROUP INC/THE,COMMON,,,Common Stock,Common Stock
11166,MAS FINANCIAL SERVICES LTD,COMMON,MAS Financial Services Limited,Common Stock,Common Stock,Common Stock
11167,MAS REAL ESTATE INC,COMMON,,,,
11168,MASAWARA PLC,COMMON,,,,
11169,MASCHINENFABRIK HEID AG,COMMON,Maschinenfabrik HEID AG,Common Stock,Common Stock,Common Stock
11170,MASCO CORP,,Masco Corporation,Common Stock,Common Stock,Common Stock
11171,MASCOT SILVER LEAD MINES,COMMON,,,Common Stock,Common Stock
11172,MASIMO CORPORATION,COMMON,Masimo Corporation,Common Stock,Common Stock,Common Stock
11173,MASON GRAPHITE INC,COMMON,Mason Graphite Inc.,Common Stock,Common Stock,Common Stock
11174,MASON GROUP HOLDINGS LTD,COMMON,Mason Financial Holdings Ltd,Common Stock,Common Stock,Common Stock
11175,MASON RESOURCES CORP,COMMON,,,,
11176,MASONITE INTERNATIONAL CORP,COMMON,Masonite International Corp,Common Stock,Common Stock,Common Stock
11177,MASS BUSINESS DEVELOPMENT CP,COMMON,,,Common Stock,Common Stock
11178,MASS HYSTERIA ENTERTAINMENT,COMMON,,,,
11179,MASS MEGAWATTS WIND POWER IN,COMMON,Mass Megawat Wind Pw,Common Stock,Common Stock,Common Stock
11180,MASSEY ENERGY CO,,,,,
11181,MASSIMO ZANETTI BEVERAGE GRO,COMMON,,,,
11182,MASSIVE DYNAMICS INC,COMMON,,,,
11183,MASSMART HOLDINGS LTD,COMMON,Massmart Holdings Ltd,Common Stock,Common Stock,Common Stock
11184,MASSROOTS,COMMON,,,,
11185,MASTECH DIGITAL INC,COMMON,Mastech Holdings Inc,Common Stock,Common Stock,Common Stock
11186,MASTEK LIMITED,COMMON,Mastek Limited,Common Stock,Common Stock,Common Stock
11187,MASTER DRILLING GROUP LTD,COMMON,Master Drilling Group Ltd,Common Stock,Common Stock,Common Stock
11188,MASTER GLORY GROUP LTD,COMMON,,,,
11189,MASTERCARD INC,,Mastercard Inc,Common Stock,Common Stock,Common Stock
11190,MASTERCRAFT BOAT HOLDINGS IN,COMMON,MCBC Holdings Inc,Common Stock,Common Stock,Common Stock
11191,MASTERLINK SECURITIES CORP,COMMON,,,,
11192,MASTERMIND INC,COMMON,,,Common Stock,Common Stock
11193,MASTERMYNE GROUP LTD,COMMON,,,,
11194,MATADOR MINING LIMITED,COMMON,Matador Mining Ltd,Common Stock,Common Stock,Common Stock
11195,MATADOR RESOURCES CO,COMMON,Matador Resources Company,Common Stock,Common Stock,Common Stock
11196,MATCHAAH HOLDINGS INC,COMMON,,,Common Stock,Common Stock
11197,MATEON THERAPEUTICS INC,COMMON,,,,
11198,MATERIALISE NV-ADR,ADR,Materialise NV,Common Stock,ADR,Depositary Receipt
11199,MATERIALS SELECT SECTOR SPDR,ETF,Materials Select Sector SPDR® Fund,ETF,ETP,Mutual Fund
11200,MATERION CORP,COMMON,Materion Corporation,Common Stock,Common Stock,Common Stock
11201,MATERNUS-KLINIKEN AG,COMMON,Maternus-Kliniken Aktiengesellschaft,Common Stock,Common Stock,Common Stock
11202,MATEX INTERNATIONAL LTD,COMMON,Matex International Limited,Common Stock,Common Stock,Common Stock
11203,MATICA ENTERPRISES INC,COMMON,,,,
