,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
310,AFFILIATED MANAGERS GROUP,COMMON,Affiliated Managers Group Inc,Common Stock,Common Stock,Common Stock
311,AFFINITY BEVERAGE GROUP INC,COMMON,Affinity Beverage Group Inc,Common Stock,Common Stock,Common Stock
312,AFFINITY ENERGY AND HEALTH L,COMMON,,,Common Stock,Common Stock
313,AFFINITY GOLD CORP,COMMON,Affinity Gold Corp,Common Stock,Common Stock,Common Stock
314,AFFINITY METALS CORP,COMMON,Affinity Metals Corp,Common Stock,Common Stock,Common Stock
315,AFFINITY NETWORKS INC,COMMON,,,Common Stock,Common Stock
316,AFFINOR GROWERS INC,COMMON,,,Common Stock,Common Stock
317,AFFIRMATIVE INSURANCE HOLDIN,COMMON,,,,
318,AFFLUENT PARTNERS HOLDINGS,COMMON,Affluent Partners Holdings Ltd,Common Stock,Common Stock,Common Stock
319,AFFYMAX INC,COMMON,Affymax Inc.,Common Stock,Common Stock,Common Stock
320,AFH FINANCIAL GROUP PLC,COMMON,,,,
321,AFI DEVELOPMENT PLC-GDR REGS,GDR,,,GDR,Depositary Receipt
322,AFLAC INC,,Aflac Inc,Common Stock,Common Stock,Common Stock
323,AFREN PLC,COMMON,,,Common Stock,Common Stock
324,AFRICA ENERGY CORP,COMMON,Africa Energy Corp.,Common Stock,Common Stock,Common Stock
325,AFRICA GROWTH CORP,COMMON,,,,
326,AFRICA ISRAEL RESIDENCES LTD,COMMON,Africa Israel Residences Ltd,Common Stock,Common Stock,Common Stock
327,AFRICA OIL CORP,COMMON,Africa Oil Corp,Common Stock,Common Stock,Common Stock
328,AFRICAN COPPER CORP,COMMON,,,,
329,AFRICAN ENERGY RESOURCES-CDI,CDI,,,CDI,Depositary Receipt
330,AFRICAN GOLD GROUP INC,COMMON,,,,
331,AFRICAN GOLD LTD,COMMON,African Gold Ltd,Common Stock,Common Stock,Common Stock
332,AFRICAN METALS CORP,COMMON,,,Common Stock,Common Stock
333,AFRICAN MINERALS LTD,COMMON,,,Common Stock,Common Stock
334,AFRICAN RAINBOW MINERALS LTD,COMMON,African Rainbow Minerals Ltd,Common Stock,Common Stock,Common Stock
335,AFRITIN MINING LTD,COMMON,AfriTin Mining Ltd,Common Stock,Common Stock,Common Stock
336,AFTERMASTER INC,COMMON,Aftermaster Inc,Common Stock,Common Stock,Common Stock
337,AFTERPAY HOLDINGS LTD,COMMON,,,Common Stock,Common Stock
338,AG GROWTH INTERNATIONAL INC,COMMON,Ag Growth International Inc,Common Stock,Common Stock,Common Stock
339,AG MORTGAGE INVESTMENT TRUST,REIT,,,REIT,REIT
340,AGARWAL INDUSTRIAL CORPORATI,COMMON,Agarwal Industrial Corporation Limited,Common Stock,Common Stock,Common Stock
341,AGC INC,COMMON,AGC Inc,Common Stock,Common Stock,Common Stock
342,AGC NETWORKS LIMITED,COMMON,,,,
343,AGCO CORP,COMMON,AGCO Corporation,Common Stock,Common Stock,Common Stock
344,AGEAGLE AERIAL SYSTEMS INC,COMMON,Ageagle Aerial Systems Inc,Common Stock,Common Stock,Common Stock
345,AGENCY GROUP AUSTRALIA LTD,COMMON,Agency Group Australia Ltd,Common Stock,Common Stock,Common Stock
346,AGENT INFORMATION SOFTWARE I,COMMON,,,Common Stock,Common Stock
347,AGENT155 MEDIA CORP,COMMON,,,,
348,AGENUS INC,COMMON,Agenus Inc,Common Stock,Common Stock,Common Stock
349,AGEX THERAPEUTICS INC,COMMON,AgeX Therapeutics Inc,Common Stock,Common Stock,Common Stock
350,AGF MANAGEMENT LTD-CLASS B,COMMON,,,Common Stock,Common Stock
351,AGFA GEVAERT NV-UNSPON ADR,ADR,Agfa Gevaert NV ADR,Common Stock,ADR,Depositary Receipt
352,AGGREKO PLC,COMMON,,,Common Stock,Common Stock
353,AGILE GROUP HOLDINGS LTD,COMMON,Agile Group Holdings Ltd,Common Stock,Common Stock,Common Stock
354,AGILE THERAPEUTICS INC,COMMON,Agile Thrpe,Common Stock,Common Stock,Common Stock
355,AGILENT TECHNOLOGIES INC,,Agilent Technologies Inc,Common Stock,Common Stock,Common Stock
356,AGILITI INC.,COMMON,,,,
357,AGILYSYS INC,COMMON,Agilysys Inc,Common Stock,Common Stock,Common Stock
358,AGIOS PHARMACEUTICALS INC,COMMON,Agios Pharm,Common Stock,Common Stock,Common Stock
359,AGIPLAN TECHNOSOFT AG,COMMON,,,,
360,AGJUNCTION INC,COMMON,,,,
361,AGL ENERGY LTD,COMMON,AGL Energy Ltd,Common Stock,Common Stock,Common Stock
362,AGL RESOURCES INC,COMMON,,,,
363,AGM GROUP HOLDINGS INC,COMMON,AGM Group Holdings Inc Class A,Common Stock,Common Stock,Common Stock
364,AGNC INVESTMENT CORP,REIT,,,PUBLIC,Preferred Stock
365,AGNC INVESTMENT CORP,PREFERRED,,,PUBLIC,Preferred Stock
366,AGNICO EAGLE MINES LTD,COMMON,Agnico Eagle Mines Limited,Common Stock,Common Stock,Common Stock
367,AGORA HOLDINGS INC,COMMON,,,,
368,AGORA HOSPITALITY GROUP CO L,COMMON,Agora Hospitality Group Co Ltd,Common Stock,Common Stock,Common Stock
369,AGRATIO URBAN DESIGN INC,COMMON,Agratio Urban Design Inc,Common Stock,Common Stock,Common Stock
370,AGRIA CORP - ADR,ADR,,,,
371,AGRICULTURAL BANK OF CHINA-H,COMMON,Agricultural Bank Of China,Common Stock,Common Stock,Common Stock
372,AGRICULTURAL LAND TRUST,REIT,,,,
373,AGRIEURO CORP,COMMON,Agrieuro Corp,Common Stock,Common Stock,Common Stock
374,AGRIMIN LTD,COMMON,Agrimin Ltd,Common Stock,Common Stock,Common Stock
375,AGRIMINCO CORP,COMMON,,,Common Stock,Common Stock
376,AGRIOS GLOBAL HOLDINGS LTD,COMMON,Agrios Global Holdings Ltd,Common Stock,Common Stock,Common Stock
377,AGRITECH WORLDWIDE INC,COMMON,,,,
378,AGRITEK HOLDINGS INC,COMMON,Agritek Holdings Inc,Common Stock,Common Stock,Common Stock
379,AGRITERRA LTD,COMMON,Agriterra Limited,Common Stock,Common Stock,Common Stock
380,AGRITRADE RESOURCES LTD,COMMON,,,Common Stock,Common Stock
381,AGRIUM INC,COMMON,,,,
382,AGRO CAPITAL MANAGEMENT CORP,COMMON,,,Common Stock,Common Stock
383,AGRO PHOS INDIA LTD,COMMON,Agro Phos India Limited,Common Stock,Common Stock,Common Stock
384,AGRO TECH FOODS LTD,COMMON,Agro Tech Foods Limited,Common Stock,Common Stock,Common Stock
385,AGRO-KANESHO CO LTD,COMMON,Agro-Kanesho Co Ltd,Common Stock,Common Stock,Common Stock
386,AGROFRESH SOLUTIONS INC,COMMON,AgroFresh Solutions Inc,Common Stock,Common Stock,Common Stock
387,AGROLIGA GROUP PLC,COMMON,,,Common Stock,Common Stock
388,AGROTON PUBLIC LTD,COMMON,Agroton Public Ltd.,Common Stock,Common Stock,Common Stock
389,AGTECH GLOBAL INTERNATIONAL,COMMON,,,,
390,AGTECH HOLDINGS LTD,COMMON,AGTech Holdings Ltd,Common Stock,Common Stock,Common Stock
391,AGUIA RESOURCES LTD,COMMON,Aguia Resources Ltd,Common Stock,Common Stock,Common Stock
392,AGUILA AMERICAN GOLD LTD,COMMON,,,,
393,AH BELO CORP-A,COMMON,,,,
394,AHALIFE HOLDINGS LTD,COMMON,,,,
395,AHIMSA INDUSTRIES LTD,COMMON,,,Common Stock,Common Stock
396,AHLSTROM-MUNKSJO OYJ,COMMON,,,,
397,AHRESTY CORP,COMMON,Ahresty Corp,Common Stock,Common Stock,Common Stock
398,AI HOLDINGS CORP,COMMON,Ai Holdings Corp,Common Stock,Common Stock,Common Stock
399,AI POWERED EQUITY ETF,ETF,AI Powered Equity ETF,ETF,ETP,Mutual Fund
400,AIA ENGINEERING LTD,COMMON,AIA Engineering Limited,Common Stock,Common Stock,Common Stock
401,AIA GROUP LTD,COMMON,AIA Group Ltd,Common Stock,Common Stock,Common Stock
402,AIB GROUP PLC,COMMON,,,,
403,AICHI STEEL CORP,COMMON,Aichi Steel Corp,Common Stock,Common Stock,Common Stock
404,AIDA ENGINEERING LTD,COMMON,Aida Engineering Ltd,Common Stock,Common Stock,Common Stock
405,AIFUL CORP,COMMON,Aiful Corp,Common Stock,Common Stock,Common Stock
406,AIGAN CO LTD,COMMON,Aigan Co Ltd,Common Stock,Common Stock,Common Stock
407,AILERON THERAPEUTICS INC,COMMON,Aileron Therapeutics Inc,Common Stock,Common Stock,Common Stock
408,AIMIA INC,COMMON,,,,
409,AIMMUNE THERAPEUTICS INC,COMMON,,,Common Stock,Common Stock
410,AIN HOLDINGS INC,COMMON,Ain Pharmaciez Inc,Common Stock,Common Stock,Common Stock
411,AINO HEALTH AB,COMMON,Aino Health AB,Common Stock,Common Stock,Common Stock
412,AINSWORTH GAME TECHNOLOGY LT,COMMON,Ainsworth Game Technology Ltd,Common Stock,Common Stock,Common Stock
413,AIPHONE CO LTD,COMMON,Aiphone Co Ltd,Common Stock,Common Stock,Common Stock
414,AIR BERLIN PLC,COMMON,Air Berlin,Common Stock,Common Stock,Common Stock
415,AIR CANADA,COMMON,Air Canada,Common Stock,Common Stock,Common Stock
416,AIR CHINA LIMITED-H,COMMON,,,,
417,AIR CHINA LTD-SPONSORED-ADR,ADR,Air China Ltd ADR,Common Stock,ADR,Depositary Receipt
418,AIR FRANCE-KLM,COMMON,Air France-KLM SA,Common Stock,Common Stock,Common Stock
419,AIR PRODUCTS & CHEMICALS INC,,Air Products and Chemicals Inc,Common Stock,Common Stock,Common Stock
420,AIRAN LTD,COMMON,Airan Limited,Common Stock,Common Stock,Common Stock
421,AIRBORNE SECURITY & PROTECTI,COMMON,Airborne Security & Protective Services Inc,Common Stock,Common Stock,Common Stock
422,AIRBORNE WIRELESS NETWORK,COMMON,Airborne Wireless Network,Common Stock,Common Stock,Common Stock
423,AIRBOSS OF AMERICA CORP,COMMON,AirBoss of America Corp.,Common Stock,Common Stock,Common Stock
424,AIRBUS SE,COMMON,Airbus Group SE,Common Stock,Common Stock,Common Stock
425,AIRCASTLE LTD,COMMON,,,Common Stock,Common Stock
426,AIREX INC,COMMON,,,,
427,AIRGAIN INC,COMMON,Airgain Inc,Common Stock,Common Stock,Common Stock
428,AIRGAS INC,,,,,
429,AIRIQ INC,COMMON,AirIQ Inc,Common Stock,Common Stock,Common Stock
430,AIRNET TECHNOLOGY INC-ADR,ADR,Airnet Technology Inc,Common Stock,ADR,Depositary Receipt
431,AIROPACK TECHNOLOGY GROUP AG,COMMON,,,Common Stock,Common Stock
432,AIRPORT CITY LTD,COMMON,Airport City Ltd,Common Stock,Common Stock,Common Stock
433,AIRPORT FACILITIES CO LTD,COMMON,Airport Facilities Co Ltd,Common Stock,Common Stock,Common Stock
434,AIRPORTS OF THAILAND PCL-ADR,ADR,Airports of Thailand PCL ADR,Common Stock,ADR,Depositary Receipt
435,AIRSPAN NETWORKS INC,COMMON,,,,
436,AIRTECH JAPAN LTD,COMMON,Airtech Japan Ltd,Common Stock,Common Stock,Common Stock
437,AIRTEL AFRICA PLC,COMMON,Airtel Africa Plc,Common Stock,Common Stock,Common Stock
438,AIRTOUCH COMMUNICATIONS INC,COMMON,,,,
439,AIRTRIP CORP,COMMON,AirTrip Corp,Common Stock,Common Stock,Common Stock
440,AISAN INDUSTRY CO LTD,COMMON,Aisan Industry Co Ltd,Common Stock,Common Stock,Common Stock
441,AISAN TECHNOLOGY CO LTD,COMMON,Aisan Technology Co Ltd,Common Stock,Common Stock,Common Stock
442,AISIN SEIKI CO LTD,COMMON,Aisin Seiki Ltd,Common Stock,Common Stock,Common Stock
443,AISINO CORP-A,COMMON,Aisino Corp,Common Stock,Common Stock,Common Stock
444,AISYSTEMS INC,COMMON,,,,
445,AIT CORP,COMMON,AIT Corp,Common Stock,Common Stock,Common Stock
446,AIXTRON SE,COMMON,AIXTRON SE,Common Stock,Common Stock,Common Stock
447,AIZAWA SECURITIES CO LTD,COMMON,Aizawa Securities Co Ltd,Common Stock,Common Stock,Common Stock
448,AJ BELL PLC,COMMON,AJ Bell plc,Common Stock,Common Stock,Common Stock
449,AJ LUCAS GROUP LIMITED,COMMON,AJ Lucas Group Ltd,Common Stock,Common Stock,Common Stock
450,AJANTA PHARMA LTD,COMMON,Ajanta Pharma Limited,Common Stock,Common Stock,Common Stock
451,AJINOMOTO CO INC,COMMON,Ajinomoto Co. Inc.,Common Stock,Common Stock,Common Stock
452,AJISEN CHINA HOLDINGS LTD,COMMON,Ajisen China Holdings Ltd,Common Stock,Common Stock,Common Stock
453,AJMERA REALTY & INFRA INDIA,COMMON,Ajmera Realty & Infra India Limited,Common Stock,Common Stock,Common Stock
454,AK MEDICAL HOLDINGS LTD,COMMON,AK Medical Holdings Ltd,Common Stock,Common Stock,Common Stock
455,AK STEEL HOLDING CORP,,,,Common Stock,Common Stock
456,AKAMAI TECHNOLOGIES INC,,Akamai Technologies Inc,Common Stock,Common Stock,Common Stock
457,AKARI THERAPEUTICS PLC-ADR,ADR,Akari Therapeutics PLC,Common Stock,ADR,Depositary Receipt
458,AKATSUKI EAZIMA CO LTD,COMMON,Akatsuki Eazima Co Ltd,Common Stock,Common Stock,Common Stock
459,AKCEA THERAPEUTICS INC,COMMON,,,Common Stock,Common Stock
460,AKEBIA THERAPEUTICS INC,COMMON,Akebia Ther,Common Stock,Common Stock,Common Stock
461,AKEBONO BRAKE INDUSTRY CO,COMMON,Akebono Brake Industry Co Ltd,Common Stock,Common Stock,Common Stock
462,AKER ASA-A SHARES,COMMON,Aker ASA,Common Stock,Common Stock,Common Stock
463,AKER SOLUTIONS ASA-UNSP ADR,ADR,,,ADR,Depositary Receipt
464,AKERNA CORP,COMMON,Akerna Corp,Common Stock,Common Stock,Common Stock
465,AKERO THERAPEUTICS INC,COMMON,Akero Therapeutics Inc,Common Stock,Common Stock,Common Stock
466,AKIKAWA FOODS & FARMS CO LTD,COMMON,Akikawa Foods & Farms Co Ltd,Common Stock,Common Stock,Common Stock
467,AKITA BANK LTD/THE,COMMON,Akita Bank Ltd,Common Stock,Common Stock,Common Stock
468,AKITA DRILLING LTD-CL A,COMMON,,,Common Stock,Common Stock
469,AKORN INC,COMMON,,,Common Stock,Common Stock
470,AKOUSTIS TECHNOLOGIES INC,COMMON,Akoustis Technologies Inc,Common Stock,Common Stock,Common Stock
471,AKSH OPTIFIBRE LIMITED,COMMON,Aksh Optifibre Limited,Common Stock,Common Stock,Common Stock
472,AKSHARCHEM INDIA LTD,COMMON,AksharChem India Limited,Common Stock,Common Stock,Common Stock
473,AKTIA BANK OYJ,COMMON,Aktia Bank Abp,Common Stock,Common Stock,Common Stock
474,AKUMIN INC,COMMON,,,,
475,AKVA GROUP ASA,COMMON,Akva Group,Common Stock,Common Stock,Common Stock
476,AKZO NOBEL INDIA LTD,COMMON,Akzo Nobel India Limited,Common Stock,Common Stock,Common Stock
477,AKZO NOBEL N.V.,COMMON,Akzo Nobel NV,Common Stock,Common Stock,Common Stock
478,AL GROUP LTD,COMMON,Al Group Ltd,Common Stock,Common Stock,Common Stock
479,ALABAMA AIRCRAFT INDUSTRIES,COMMON,,,Common Stock,Common Stock
480,ALACER GOLD CORP,COMMON,,,Common Stock,Common Stock
481,ALADDIN SEPARATION TECH INC,COMMON,,,Common Stock,Common Stock
482,ALAMO GROUP INC,COMMON,Alamo Group Inc,Common Stock,Common Stock,Common Stock
483,ALAMOS GOLD INC-CLASS A,COMMON,Alamos Gold Inc,Common Stock,Common Stock,Common Stock
484,ALANCO TECHNOLOGIES INC,COMMON,Alanco Tech Inc,Common Stock,Common Stock,Common Stock
485,ALANKIT LTD,COMMON,Alankit Limited,Common Stock,Common Stock,Common Stock
486,ALARA RESOURCES LTD,COMMON,Alara Resources Ltd,Common Stock,Common Stock,Common Stock
487,ALARIS ROYALTY CORP,COMMON,,,Common Stock,Common Stock
488,ALARM.COM HOLDINGS INC,COMMON,Alarm.com Holdings Inc,Common Stock,Common Stock,Common Stock
489,ALASKA AIR GROUP INC,,Alaska Air Group Inc,Common Stock,Common Stock,Common Stock
490,ALASKA GOLD CORP,COMMON,,,,
491,ALASKA PACIFIC ENERGY CORP,COMMON,Alaska Pacific Energy Corp,Common Stock,Common Stock,Common Stock
492,ALASKA POWER & TELEPHONE CO,COMMON,Alaska Power & Telephone Company,Common Stock,Common Stock,Common Stock
493,ALBA MINERAL RESOURCES PLC,COMMON,Alba Mineral Resources,Common Stock,Common Stock,Common Stock
494,ALBA SE,COMMON,ALBA SE,Common Stock,Common Stock,Common Stock
495,ALBANY INTL CORP-CL A,COMMON,Albany International Corporation,Common Stock,Common Stock,Common Stock
496,ALBEMARLE CORP,,Albemarle Corp,Common Stock,Common Stock,Common Stock
497,ALBERT DAVID LTD,COMMON,Albert David Limited,Common Stock,Common Stock,Common Stock
498,ALBERT INC,COMMON,Albert Inc,Common Stock,Common Stock,Common Stock
499,ALBERTON ACQUISITION CORP,COMMON,Alberton Acquisition Corporation,Common Stock,,
500,ALBERTON ACQUISITION CORP,UNIT,Alberton Acquisition Corporation,Common Stock,,
501,ALBION DEVELOPMENT VCT PLC,CLOSED-END FUND,Albion Development VCT PLC,Common Stock,Closed-End Fund,Mutual Fund
502,ALBION TECHNOLOGY & GENERAL,CLOSED-END FUND,Albion Technology & General VCT PLC,Common Stock,Closed-End Fund,Mutual Fund
503,ALBIREO PHARMA INC,COMMON,Albireo Pharma Inc,Common Stock,Common Stock,Common Stock
504,ALCADON GROUP AB,COMMON,Alcadon Group AB,Common Stock,Common Stock,Common Stock
505,ALCANNA INC,COMMON,,,,
506,ALCATEL-LUCENT-SPONSORED ADR,ADR,,,,
507,ALCENTRA EUROPEAN FLOATING R,CLOSED-END FUND,,,,
508,ALCHEMIST LTD,COMMON,,,Common Stock,Common Stock
509,ALCHEMIST MINING INC,COMMON,,,,
510,ALCHEMY CREATIVE INC,COMMON,,,Common Stock,Common Stock
511,ALCHEMY RESOURCES LTD,COMMON,Alchemy Resources Ltd,Common Stock,Common Stock,Common Stock
512,ALCIDION GROUP LTD,COMMON,Alcidion Group Ltd,Common Stock,Common Stock,Common Stock
513,ALCO HOLDINGS LTD.,COMMON,Alco Holdings Ltd,Common Stock,Common Stock,Common Stock
514,ALCOA CORP,,Alcoa Corp,Common Stock,Common Stock,Common Stock
515,ALCONIX CORP,COMMON,Alconix Corp,Common Stock,Common Stock,Common Stock
516,ALDEBARAN RESOURCES INC,COMMON,Aldebaran Resources Inc,Common Stock,Common Stock,Common Stock
517,ALDERAN RESOURCES LTD,COMMON,Alderan Resources Ltd,Common Stock,Common Stock,Common Stock
518,ALDERMORE GROUP PLC,COMMON,,,,
519,ALDERON IRON ORE CORP,COMMON,,,Common Stock,Common Stock
520,ALDERON IRON ORE CORP,COMMON,,,Common Stock,Common Stock
521,ALDEYRA THERAPEUTICS INC,COMMON,Aldeyra The,Common Stock,Common Stock,Common Stock
522,ALDRIDGE MINERALS INC,COMMON,,,,
523,ALDRIDGE MINERALS INC,COMMON,,,,
524,ALE PROPERTY GROUP,REIT,,,REIT,REIT
525,ALEAFIA HEALTH INC,COMMON,Aleafia Health Inc,Common Stock,Common Stock,Common Stock
526,ALECTOR INC,COMMON,Alector Inc,Common Stock,Common Stock,Common Stock
527,ALELION ENERGY SYSTEMS AB,COMMON,Alelion Energy Systems AB,Common Stock,Common Stock,Common Stock
528,ALEMBIC LIMITED,COMMON,Alembic Limited,Common Stock,Common Stock,Common Stock
529,ALEMBIC PHARMACEUTICALS LTD,COMMON,Alembic Pharmaceuticals Limited,Common Stock,Common Stock,Common Stock
530,ALERE INC,COMMON,,,,
531,ALERUS FINANCIAL CORP,COMMON,Alerus Financial Corp,Common Stock,Common Stock,Common Stock
532,ALEXANDER & BALDWIN INC,REIT,Alexander & Baldwin Holdings Inc,Common Stock,REIT,REIT
533,ALEXANDRIA ADVANTAGE WARRANT,COMMON,,,,
534,ALEXANDRIA MINERALS CORP,COMMON,,,Common Stock,Common Stock
535,ALEXANDRIA R E EQUITIES INC,,,,,
536,ALEXCO RESOURCE CORP,COMMON,Alexco Resource Corp,Common Stock,Common Stock,Common Stock
537,ALEXION PHARMACEUTICALS INC,,,,Common Stock,Common Stock
538,ALEXIUM INTERNATIONAL GROUP,COMMON,Alexium International Group,Common Stock,Common Stock,Common Stock
539,ALEXZA PHARMACEUTICALS INC,COMMON,,,,
540,ALFA FINANCIAL SOFTWARE HOLD,COMMON,Alfa Financial Software Holdings PLC,Common Stock,Common Stock,Common Stock
541,ALFA LAVAL AB,COMMON,Alfa Laval AB,Common Stock,Common Stock,Common Stock
542,ALFRESA HOLDINGS CORP,COMMON,Alfresa Holdings Corp,Common Stock,Common Stock,Common Stock
543,ALGERNON PHARMACEUTICALS INC,COMMON,,,Common Stock,Common Stock
544,ALGOLD RESOURCES LTD,COMMON,,,,
545,ALGOMA CENTRAL CORP,COMMON,Algoma Central Corporation,Common Stock,Common Stock,Common Stock
546,ALGONQUIN POWER & UTILITIES,COMMON,Algonquin Power & Utilities Corp,Common Stock,Common Stock,Common Stock
547,ALHAMBRA RESOURCES LTD.,COMMON,,,,
548,ALIANZA MINERALS LTD,COMMON,Alianza Minerals Ltd,Common Stock,Common Stock,Common Stock
549,ALIBABA GROUP HOLDING-SP ADR,ADR,Alibaba Group Holding Ltd,Common Stock,ADR,Depositary Receipt
550,ALIBABA HEALTH INFORMATION T,COMMON,Alibaba Health Information Technology Ltd,Common Stock,Common Stock,Common Stock
551,ALIBABA PICTURES GROUP LTD,COMMON,Alibaba Pictures Group Ltd,Common Stock,Common Stock,Common Stock
552,ALICANTO MINERALS LTD,COMMON,Alicanto Minerals Ltd,Common Stock,Common Stock,Common Stock
553,ALICE CONS MINING INC,COMMON,Alice Consolidated Mines Inc,Common Stock,Common Stock,Common Stock
554,ALICO INC,COMMON,Alico Inc,Common Stock,Common Stock,Common Stock
555,ALICON CASTALLOY LIMITED,COMMON,Alicon Castalloy Limited,Common Stock,Common Stock,Common Stock
556,ALIGN TECHNOLOGY INC,,Align Technology Inc,Common Stock,Common Stock,Common Stock
557,ALIMAK GROUP AB,COMMON,Alimak Hek Group AB,Common Stock,Common Stock,Common Stock
558,ALIMENTATION COUCHE-TARD -B,COMMON,,,,
559,ALIO GOLD INC,COMMON,,,Common Stock,Common Stock
560,ALIOR BANK SA - UNSP ADR,ADR,Alior Bank SA ADR,Common Stock,ADR,Depositary Receipt
561,ALITHYA GROUP INC-CLASS A,COMMON,Alithya Group inc Class A,Common Stock,Common Stock,Common Stock
562,ALJ REGIONAL HOLDINGS INC,COMMON,ALJ Regional Holdings Inc,Common Stock,Common Stock,Common Stock
563,ALK-ABELLO A/S-SPON ADR,ADR,ALK-Abello A/S ADR,Common Stock,ADR,Depositary Receipt
564,ALKALI METALS LIMITED,COMMON,Alkali Metals Limited,Common Stock,Common Stock,Common Stock
565,ALKALINE WATER CO INC/THE,COMMON,Alkaline Water Company Inc,Common Stock,Common Stock,Common Stock
566,ALKAME HOLDINGS INC,COMMON,Alkame Holdings Inc,Common Stock,Common Stock,Common Stock
567,ALKEM LABORATORIES LTD,COMMON,Alkem Laboratories Limited,Common Stock,Common Stock,Common Stock
568,ALKERMES PLC,COMMON,Alkermes Plc,Common Stock,Common Stock,Common Stock
569,ALKYL AMINES CHEMICALS LTD,COMMON,Alkyl Amines Chemicals Limited,Common Stock,Common Stock,Common Stock
570,ALL ENERGY CORP,COMMON,,,,
571,ALL FOR ONE GROUP AG,COMMON,,,,
572,ALLAHABAD BANK,COMMON,,,Common Stock,Common Stock
573,ALLAKOS INC,COMMON,Allakos Inc,Common Stock,Common Stock,Common Stock
574,ALLAN INTERNATIONAL HOLDINGS,COMMON,,,,
575,ALLCARGO LOGISTICS LTD,COMMON,Allcargo Logistics Limited,Common Stock,Common Stock,Common Stock
576,ALLDIGITAL HOLDINGS INC,COMMON,,,Common Stock,Common Stock
577,ALLEGHANY CORP,COMMON,Alleghany Corporation,Common Stock,Common Stock,Common Stock
578,ALLEGHENY ENERGY INC,,,,,
579,ALLEGHENY TECHNOLOGIES INC,,Allegheny Technologies Incorporated,Common Stock,Common Stock,Common Stock
580,ALLEGIANCE BANCSHARES INC,COMMON,Allegiance Bancshares Inc,Common Stock,Common Stock,Common Stock
581,ALLEGIANCE BANK OF NORTH AME,COMMON,,,Common Stock,Common Stock
582,ALLEGIANCE COAL LTD,COMMON,Allegiance Coal Ltd,Common Stock,Common Stock,Common Stock
583,ALLEGIANT GOLD LTD,COMMON,Allegiant Gold Ltd,Common Stock,Common Stock,Common Stock
584,ALLEGIANT TRAVEL CO,COMMON,Allegiant Travel Company,Common Stock,Common Stock,Common Stock
585,ALLEGION PLC,,Allegion PLC,Common Stock,Common Stock,Common Stock
586,ALLEGRO MERGER CORP,COMMON,,,,
587,ALLEGRO MERGER CORP,UNIT,,,,
588,ALLENA PHARMACEUTICALS INC,COMMON,Allena Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
589,ALLENERGY INC,COMMON,,,Common Stock,Common Stock
590,ALLERGAN PLC,,,,Common Stock,Common Stock
591,ALLERGAN PLC,COMMON,,,Common Stock,Common Stock
592,ALLERGY THERAPEUTICS PLC,COMMON,Allergy Therapeutics,Common Stock,Common Stock,Common Stock
593,ALLETE INC,COMMON,Allete Inc,Common Stock,Common Stock,Common Stock
594,ALLIANCE AVIATION SERVICES L,COMMON,Alliance Aviation Services Ltd,Common Stock,Common Stock,Common Stock
595,ALLIANCE BIOENERGY PLUS INC,COMMON,,,,
596,ALLIANCE DATA SYSTEMS CORP,,Bread Financial Holdings Inc,Common Stock,Common Stock,Common Stock
597,ALLIANCE FIBER OPTIC PRODUCT,COMMON,,,,
