country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,industry-IB,longName-IB,marketName-IB,Symbol-IB,Country-IB,Exchange-IB,Currency-IB
,,,,,,AU000000CRD7,CREDIBLE LABS INC-CDI,Communications,CREDIBLE LABS INC-CDI,CRD,CRD,,,
,,,,,,BMG2519Y1084,CREDICORP LTD,Financial,CREDICORP LTD,BAP,BAP,,,
,,,,,,US2253101016,CREDIT ACCEPTANCE CORP,Financial,CREDIT ACCEPTANCE CORP,NMS,CACC,,,
,,,,,,RU000A0JUG31,CREDIT BANK OF MOSCOW PJSC,Financial,CREDIT BANK OF MOSCOW PJSC,CBOM,CBOM,Russia,MOEX,RUB
,,,,,,US2249161066,CREDIT SUISSE ASSET MGMT INC,,CREDIT SUISSE ASSET MGMT INC,CIK,CIK,,,
,,,,,,INE741K01010,CREDITACCESS GRAMEEN LTD,Financial,CREDITACCESS GRAMEEN LTD,CREDITACC,CREDITACC,India,NSE,INR
,,,,,,US22547L1070,CREDNOLOGY HOLDING CORP,Diversified,CREDNOLOGY HOLDING CORP,COHO,COHO,,,
,,,,,,GB0002341666,CREIGHTONS PLC,"Consumer, Non-cyclical",CREIGHTONS PLC,SSQ3,CRL,United Kingdom,LSE,GBP
,,,,,,GB00BZ1BLL44,CREO MEDICAL GROUP PLC,"Consumer, Non-cyclical",CREO MEDICAL GROUP PLC,ASQ1,CREO,United Kingdom,LSE,GBP
,,,,,,CA2258471028,CRESCITA THERAPEUTICS INC,"Consumer, Non-cyclical",CRESCITA THERAPEUTICS INC,CTX,CTX,,,
,,,,,,AU000000CPH2,CRESO PHARMA LTD,"Consumer, Non-cyclical",CRESO PHARMA LTD,CPH,CPH,Australia,ASX,AUD
,,,,,,CA22608C1032,CREST RESOURCES INC/CA,Basic Materials,CREST RESOURCES INC/CA,CRES,CRES,,,
,,,,,,INE559D01011,CREST VENTURES LTD,Industrial,CREST VENTURES LTD,CREST,CREST,India,NSE,INR
,,,,,,US2262701061,CRESTON RESOURCES LTD,Energy,CRESTON RESOURCES LTD,CSTJ,CSTJ,,,
,,,,,,US2263442087,CRESTWOOD EQUITY PARTNERS LP,Energy,CRESTWOOD EQUITY PARTNERS LP,CEQP,CEQP,,,
,,,,,,US2265521078,CREXENDO INC,Communications,CREXENDO INC,SCM,CXDO,,,
,,,,,,US2265531051,CREXUS INVESTMENT CORP,Financial,CREXUS INVESTMENT CORP,CXS,CXS,,,
,,,,,,CA12626F1053,CRH MEDICAL CORP,"Consumer, Non-cyclical",CRH MEDICAL CORP,CRHM,CRHM,,,
,,,,,,US12626K2033,CRH PLC-SPONSORED ADR,Industrial,CRH PLC-SPONSORED ADR,CRH,CRH,,,
,,,,,,US22662X1000,CRIMSON WINE GROUP LTD,"Consumer, Non-cyclical",CRIMSON WINE GROUP LTD,CURRENT,CWGL,,,
,,,,,,INE007A01025,CRISIL LTD,"Consumer, Non-cyclical",CRISIL LTD,CRISIL,CRISIL,India,NSE,INR
,,,,,,CA22675W1077,CRITICAL ELEMENTS LITHIUM CO,Basic Materials,CRITICAL ELEMENTS LITHIUM CO,CRE,CRE,,,
,,,,,,US22675T1043,CRITICAL SOLUTIONS INC,Industrial,CRITICAL SOLUTIONS INC,CURRENT,CSLI,,,
,,,,,,US2270721051,CROGHAN BANCSHARES INC,Financial,CROGHAN BANCSHARES INC,PREMQX,CHBH,,,
,,,,,,INE299U01018,CROMPTON GREAVES CONSUMER EL,"Consumer, Cyclical",CROMPTON GREAVES CONSUMER EL,CROMPTON,CROMPTON,India,NSE,INR
,,,,,,US2274431087,CROSS BORDER RESOURCES INC,Energy,CROSS BORDER RESOURCES INC,NOINFO,XBOR,,,
,,,,,,US2274621083,CROSS CLICK MEDIA INC,Financial,CROSS CLICK MEDIA INC,XCLK,XCLK,,,
,,,,,,US22757R1095,CROSS TIMBERS ROYALTY TRUST,Energy,CROSS TIMBERS ROYALTY TRUST,CRT,CRT,,,
,,,,,,US22758A1051,CROSSAMERICA PARTNERS LP,Energy,CROSSAMERICA PARTNERS LP,CAPL,CAPL,,,
,,,,,,CA2276962008,CROSSWINDS HOLDINGS INC,Financial,CROSSWINDS HOLDINGS INC,CWI,CWI,,,
,,,,,,GB00BNG2LT65,CROSSWORD CYBERSECURITY PLC,Technology,CROSSWORD CYBERSECURITY PLC,ASQ1,CCS,United Kingdom,LSE,GBP
,,,,,,US22787P1075,CROWDGATHER INC,Communications,CROWDGATHER INC,LIMITED,CRWG,,,
,,,,,,US22821R1014,CROWN BAUS CAPITAL CORP,Financial,CROWN BAUS CAPITAL CORP,NOINFO,CBCA,,,
,,,,,,CA22821L1040,CROWN CAPITAL PARTNERS INC,Financial,CROWN CAPITAL PARTNERS INC,CRWN,CRWN,,,
,,,,,,US22822V1017,CROWN CASTLE INTL CORP,Financial,CROWN CASTLE INTL CORP,CCI,CCI,,,
,,,,,,US22834M3051,CROWN EQUITY HOLDINGS INC,Communications,CROWN EQUITY HOLDINGS INC,CURRENT,CRWE,,,
,,,,,,US2284111042,CROWN MEDIA HOLDINGS-CLASS A,Communications,CROWN MEDIA HOLDINGS-CLASS A,CRWN,CRWN,,,
,,,,,,CA2284622065,CROWN POINT ENERGY INC,Energy,CROWN POINT ENERGY INC,CURRENT,CWVLF,,,
,,,,,,AU000000CWN6,CROWN RESORTS LTD,"Consumer, Cyclical",CROWN RESORTS LTD,CWN,CWN,Australia,ASX,AUD
,,,,,,CA2286981063,CROWNIA HOLDINGS LTD,Basic Materials,CROWNIA HOLDINGS LTD,CNH.H,CNH.H,,,
,,,,,,US22878U5020,CRUISECAM INTL INC.,,CRUISECAM INTL INC.,CCINT,CCINT,,,
,,,,,,US22906C1027,CRYPTO CO/THE,"Consumer, Non-cyclical",CRYPTO CO/THE,CRCW,CRCW,,,
,,,,,,CA22905W1095,CRYPTOSTAR CORP,Technology,CRYPTOSTAR CORP,CSTR,CSTR,,,
,,,,,,US22938P1057,CRYSTAL PROPERTIES HOLDINGS,Financial,CRYSTAL PROPERTIES HOLDINGS,CPHG,CPHG,,,
,,,,,,US22941P1003,CRYSTAL VALLEY FINANCIAL CP,Financial,CRYSTAL VALLEY FINANCIAL CP,CURRENT,CYVF,,,
,,,,,,CA22942F1018,CRYSTALLEX INTL CORP,Basic Materials,CRYSTALLEX INTL CORP,KRY,KRY,,,
,,,,,,FR0007317813,CS GROUP SA,Industrial,CS GROUP SA,SX,SX,France,SBF,EUR
,,,,,,US12628R1077,CSB BANCORP INC,Financial,CSB BANCORP INC,CURRENT,CSBB,,,
,,,,,,SG1G47869290,CSE GLOBAL LTD,Technology,CSE GLOBAL LTD,544,544,Singapore,SGX,SGD
,,,,,,KYG2582R1056,CSMALL GROUP LTD,"Consumer, Cyclical",CSMALL GROUP LTD,1815,1815,,,
,,,,,,AU000000CSR5,CSR LIMITED,Industrial,CSR LIMITED,CSR,CSR,Australia,ASX,AUD
,,,,,,US12650T1043,CSRA INC,Technology,CSRA INC,CSRA,CSRA,,,
,,,,,,US12646R1059,CST BRANDS INC,"Consumer, Cyclical",CST BRANDS INC,CST,CST,,,
,,,,,,KYG2588M1006,CSTONE PHARMACEUTICALS,"Consumer, Non-cyclical",CSTONE PHARMACEUTICALS,2616,2616,,,
,,,,,,US1264081035,CSX CORP,Industrial,CSX CORP,NMS,CSX,,,
,,,,,,US12642X1063,CTC MEDIA INC,Communications,CTC MEDIA INC,CTCM,CTCM,,,
,,,,,,US74913G8731,CTL 6 3/4 06/15/57 PFD,Communications,CTL 6 3/4 06/15/57 PFD,CTDD,CTDD,,,
,,,,,,US22945C1053,CTPARTNERS EXECUTIVE SEARCH,"Consumer, Non-cyclical",CTPARTNERS EXECUTIVE SEARCH,CTPR,CTPR,,,
,,,,,,US1264532086,CTR INVESTMENTS & CONSULTING,"Consumer, Non-cyclical",CTR INVESTMENTS & CONSULTING,CURRENT,CIVX,,,
,,,,,,DE0005470306,CTS EVENTIM AG & CO KGAA,"Consumer, Cyclical",CTS EVENTIM AG & CO KGAA,XETRA,EVD,Germany,IBIS,EUR
,,,,,,US1265341065,CU BANCORP,Financial,CU BANCORP,CUNB,CUNB,,,
,,,,,,US1265241075,CUBA BEVERAGE CO,"Consumer, Non-cyclical",CUBA BEVERAGE CO,LIMITED,CUBV,,,
,,,,,,INE144D01012,CUBEX TUBINGS LIMITED,Basic Materials,CUBEX TUBINGS LIMITED,CUBEXTUB,CUBEXTUB,India,NSE,INR
,,,,,,CA22968P1080,CUBICFARM SYSTEMS CORP,Industrial,CUBICFARM SYSTEMS CORP,CUB,CUB,,,
,,,,,,US22978P1066,CUE BIOPHARMA INC,"Consumer, Non-cyclical",CUE BIOPHARMA INC,SCM,CUE,,,
,,,,,,US2297942011,CUENTAS INC,Financial,CUENTAS INC,SCM,CUEN,,,
,,,,,,US2299042067,CUISINE SOLUTIONS INC,"Consumer, Non-cyclical",CUISINE SOLUTIONS INC,NOINFO,CUSI,,,
,,,,,,US2301531081,CULLMAN BANCORP INC,Financial,CULLMAN BANCORP INC/MD,SCM,CULL,,,
,,,,,,US2302151053,CULP INC,"Consumer, Cyclical",CULP INC,CULP,CULP,,,
,,,,,,CNE000000KY5,CULTURAL INVESTMENT HOLDIN-A,"Consumer, Cyclical",CULTURAL INVESTMENT HOLDIN-A,600715,600715,China,SEHKNTL,CNH
,,,,,,INE298A01020,CUMMINS INDIA LTD,Industrial,CUMMINS INDIA LTD,CUMMINSIN,CUMMINSIN,India,NSE,INR
,,,,,,INE509F01011,CUPID LTD,"Consumer, Non-cyclical",CUPID LTD,CUPID,CUPID,India,NSE,INR
,,,,,,US23127Q1022,CURAEGIS TECHNOLOGIES INC,"Consumer, Cyclical",CURAEGIS TECHNOLOGIES INC,NOINFO,CRGS,,,
,,,,,,CA23126M1023,CURALEAF HOLDINGS INC,"Consumer, Non-cyclical",CURALEAF HOLDINGS INC,CURA,CURA,,,
,,,,,,DE000A2YPGM4,CURASAN AG,"Consumer, Non-cyclical",CURASAN AG,XETRA,CURK,,,
,,,,,,US23127M1018,CURATIVE BIOSCIENCES INC,"Consumer, Non-cyclical",CURATIVE BIOSCIENCES INC,NOINFO,CBDX,,,
,,,,,,US23127P1049,CURE PHARMACEUTICAL HOLDING,"Consumer, Non-cyclical",CURE PHARMACEUTICAL HOLDING,CURRENT,CURR,,,
,,,,,,US23131L1070,CURO GROUP HOLDINGS CORP,Financial,CURO GROUP HOLDINGS CORP,CURO,CURO,,,
,,,,,,US23131B3078,CURRENCY EXCHANGE INTERNATIO,Financial,CURRENCY EXCHANGE INTERNATIO,CXI,CXI,,,
,,,,,,GB00BW0D4R71,CURTIS BANKS GROUP PLC,Financial,CURTIS BANKS GROUP PLC,AMSM,CBP,United Kingdom,LSE,GBP
,,,,,,US2315551034,CURTISS MOTORCYCLES CO INC,"Consumer, Cyclical",CURTISS MOTORCYCLES CO INC,LIMITED,CMOT,,,
,,,,,,GB00BD97ND60,CURZON ENERGY PLC,Energy,CURZON ENERGY PLC,SSQ3,CZN,United Kingdom,LSE,GBP
,,,,,,US23162T1025,CUSHING ENERGY INCOME FUND/T,,CUSHING ENERGY INCOME FUND/T,SRF.USD,SRF.USD,,,
,,,,,,GB00BJFLFT45,CUSTODIAN REIT PLC,Financial,CUSTODIAN REIT PLC,SSMM,CREI,United Kingdom,LSE,GBP
,,,,,,US23202P2011,CUSTOM DESIGNED COMPRESSOR S,Energy,CUSTOM DESIGNED COMPRESSOR S,NOINFO,CPYJ,,,
,,,,,,AU000000CV19,CV CHECK LTD,Communications,CV CHECK LTD,CV1,CV1,Australia,ASX,AUD
,,,,,,US12661F1012,CV HOLDINGS INC,Financial,CV HOLDINGS INC,LIMITED,CVHL,,,
,,,,,,US1266541028,CV SCIENCES INC,"Consumer, Non-cyclical",CV SCIENCES INC,CVSI,CVSI,,,
,,,,,,US1266001056,CVB FINANCIAL CORP,Financial,CVB FINANCIAL CORP,NMS,CVBF,,,
,,,,,,US1266011030,CVD EQUIPMENT CORP,Industrial,CVD EQUIPMENT CORP,SCM,CVV,,,
,,,,,,CA1266321084,CVR MEDICAL CORP,"Consumer, Non-cyclical",CVR MEDICAL CORP,CVM,CVM,,,
,,,,,,CA12671H1055,CWC ENERGY SERVICES CORP,Energy,CWC ENERGY SERVICES CORP,CWC,CWC,,,
,,,,,,HK0521001989,CWT INTERNATIONAL LTD,"Consumer, Cyclical",CWT INTERNATIONAL LTD,521,521,Hong Kong,SEHK,HKD
,,,,,,US12672T1088,CX NETWORK GROUP INC,Communications,CX NETWORK GROUP INC,CURRENT,CXKJ,,,
,,,,,,US2324373016,CYANOTECH CORP,"Consumer, Non-cyclical",CYANOTECH CORP,SCM,CYAN,,,
,,,,,,INE278G01037,CYBER MEDIA INDIA LTD,Communications,CYBER MEDIA INDIA LTD,CYBERMEDI,CYBERMEDI,India,NSE,INR
,,,,,,US23245E1064,CYBER OPERATIONS INC,Technology,CYBER OPERATIONS INC,CYPJ,CYPJ,,,
,,,,,,IL0011334468,CYBERARK SOFTWARE LTD/ISRAEL,Technology,CYBERARK SOFTWARE LTD/ISRAEL,NMS,CYBR,,,
,,,,,,US23249C2052,CYBERFORT SOFTWARE INC,Technology,CYBERFORT SOFTWARE INC,NOINFO,CYBF,,,
,,,,,,US23248X1019,CYBERGY HOLDINGS INC,Financial,CYBERGY HOLDINGS INC,CYBG,CYBG,,,
,,,,,,KYG2606Y1026,CYBERNAUT INTERNATIONAL HOLD,Communications,CYBERNAUT INTERNATIONAL HOLD,1020,1020,,,
,,,,,,US2325171021,CYBEROPTICS CORP,Industrial,CYBEROPTICS CORP,NMS,CYBE,,,
,,,,,,INE214A01019,CYBERTECH SYSTEMS & SOFTWARE,Technology,CYBERTECH SYSTEMS & SOFTWARE,CYBERTECH,CYBERTECH,India,NSE,INR
,,,,,,US23254L2079,CYCLACEL PHARMACEUTICALS INC CNV EXCH 6.0% PFD,"Consumer, Non-cyclical",CYCLACEL PHARMACEUTICALS INC CNV EXCH 6.0% PFD,SCM,CYCCP,,,
,,,,,,US23255M1053,CYCLERION THERAPEUTICS INC,"Consumer, Non-cyclical",CYCLERION THERAPEUTICS INC,NMS,CYCN,,,
,,,,,,AU000000CYQ5,CYCLIQ GROUP LTD,Energy,CYCLIQ GROUP LTD,CYQ,CYQ,Australia,ASX,AUD
,,,,,,US23254W1045,CYCLONE POWER TECHNOLOGIES,Industrial,CYCLONE POWER TECHNOLOGIES,CYPW,CYPW,,,
,,,,,,CA23256A1003,CYGAM ENERGY LTD,Energy,CYGAM ENERGY LTD,CYG,CYG,,,
,,,,,,AU000000CY57,CYGNUS GOLD LTD,Basic Materials,CYGNUS GOLD LTD,CY5,CY5,Australia,ASX,AUD
,,,,,,INE136B01020,CYIENT LTD,Industrial,CYIENT LTD,CYIENT,CYIENT,India,NSE,INR
,,,,,,US23257D1037,CYMABAY THERAPEUTICS INC,"Consumer, Non-cyclical",CYMABAY THERAPEUTICS INC,NMS,CBAY,,,
,,,,,,CA23257X1096,CYMBRIA CORP-A,,CYMBRIA CORP-A,CYB,CYB,,,
,,,,,,US23258P1057,CYNERGISTEK INC/DE,Technology,CYNERGISTEK INC/DE,CTEK,CTEK,,,
,,,,,,US23258A1088,CYNK TECHNOLOGY CORP,Communications,CYNK TECHNOLOGY CORP,CYNK,CYNK,,,
,,,,,,CA2326621067,CYPHERPUNK HOLDINGS INC,Financial,CYPHERPUNK HOLDINGS INC,HODL,HODL,,,
,,,,,,US2328061096,CYPRESS SEMICONDUCTOR CORP,Technology,CYPRESS SEMICONDUCTOR CORP,CYP,CYP,,,
,,,,,,US12673A1088,CYS INVESTMENTS INC,Financial,CYS INVESTMENTS INC,CYS,CYS,,,
,,,,,,US23283M1018,CYTODYN INC,"Consumer, Non-cyclical",CYTODYN INC,LIMITED,CYDY,,,
,,,,,,US23283X2062,CYTOSORBENTS CORP,"Consumer, Non-cyclical",CYTOSORBENTS CORP,SCM,CTSO,,,
,,,,,,US12673W4078,CYTTA CORP,Communications,CYTTA CORP,CURRENT,CYCA,,,
,,,,,,US2332792074,D MECATRONICS INC,"Consumer, Cyclical",D MECATRONICS INC,DMTA,DMTA,,,
,,,,,,JP3548780000,D.A.CONSORTIUM HOLDINGS INC,Communications,D.A.CONSORTIUM HOLDINGS INC,6534,6534,,,
,,,,,,KYG2659Y1089,DA SEN HOLDINGS GROUP LTD,Industrial,DA SEN HOLDINGS GROUP LTD,1580,1580,,,
,,,,,,INE016A01026,DABUR INDIA LIMITED,"Consumer, Non-cyclical",DABUR INDIA LIMITED,DABUR,DABUR,India,NSE,INR
,,,,,,KYG261441086,DACHAN FOOD ASIA LTD,"Consumer, Non-cyclical",DACHAN FOOD ASIA LTD,3999,3999,,,
,,,,,,US2334221049,DACOTAH BANKS INC,Financial,DACOTAH BANKS INC,PREMQX,DBIN,,,
,,,,,,KYG2616M1069,DADI EDUCATION HOLDINGS LTD,"Consumer, Non-cyclical",DADI EDUCATION HOLDINGS LTD,8417,8417,,,
,,,,,,GB0002502036,DAEJAN HOLDINGS PLC,Financial,DAEJAN HOLDINGS PLC,DJANL,DJANL,,,
,,,,,,CH0030486770,DAETWYLER HOLDING AG-BR,Industrial,DAETWYLER HOLDING AG-BR,DAE,DAE,Switzerland,EBS,CHF
,,,,,,KYG261681079,DAFA PROPERTIES GROUP LIMITED,Financial,DAFA PROPERTIES GROUP LIMITED,6111,6111,,,
,,,,,,HK0440001847,DAH SING FINANCIAL HOLDINGS,Financial,DAH SING FINANCIAL HOLDINGS,440,440,Hong Kong,SEHK,HKD
,,,,,,BMG2619Y1315,DAIDO GROUP LTD,"Consumer, Cyclical",DAIDO GROUP LTD,544,544,,,
,,,,,,GB00BJQZC279,DAILY MAIL&GENERAL TST-A NV,Communications,DAILY MAIL&GENERAL TST-A NV,DMGT,DMGT,,,
,,,,,,GB0002502812,DAIRY CREST GROUP PLC,"Consumer, Non-cyclical",DAIRY CREST GROUP PLC,DCG,DCG,,,
,,,,,,JP3485700003,DAISEKI ECO. SOLUTION CO LTD,Industrial,DAISEKI ECO. SOLUTION CO LTD,1712,1712,Japan,TSEJ,JPY
,,,,,,JP3483800003,DAISHI BANK LTD/THE,Financial,DAISHI BANK LTD/THE,8324,8324,,,
,,,,,,BMG2624V1063,DAISHO MICROLINE HOLDINGS LT,Energy,DAISHO MICROLINE HOLDINGS LT,567,567,,,
,,,,,,JP3486700002,DAITO BANK LTD/THE,Financial,DAITO BANK LTD/THE,8563,8563,Japan,TSEJ,JPY
,,,,,,JP3486800000,DAITO TRUST CONSTRUCT CO LTD,Financial,DAITO TRUST CONSTRUCT CO LTD,1878,1878,Japan,TSEJ,JPY
,,,,,,JP3027620008,DAIWA ETF-TOPIX,,DAIWA ETF-TOPIX,1305,1305,,,
,,,,,,JP3503000006,DAIWA MOTOR TRANSPORTATION,Industrial,DAIWA MOTOR TRANSPORTATION,9082,9082,Japan,TSEJ,JPY
,,,,,,US2342631015,DAKSHIDIN CORP,Energy,DAKSHIDIN CORP,CURRENT,DKSC,,,
,,,,,,INE495A01022,DALMIA BHARAT SUGAR & INDUST,"Consumer, Non-cyclical",DALMIA BHARAT SUGAR & INDUST,DALMIASUG,DALMIASUG,India,NSE,INR
,,,,,,US2354964031,DALRADA FINANCIAL CORP,"Consumer, Non-cyclical",DALRADA FINANCIAL CORP,CURRENT,DFCO,,,
,,,,,,CA2354991002,DALRADIAN RESOURCES INC,Basic Materials,DALRADIAN RESOURCES INC,DNA,DNA,,,
,,,,,,CA23568R1064,DAMARA GOLD CORP,Basic Materials,DAMARA GOLD CORP,DMR,DMR,,,
,,,,,,US2356881084,DAMARISCOTTA BANKSHARES INC,Financial,DAMARISCOTTA BANKSHARES INC,DMSQ,DMSQ,,,
,,,,,,INE497D01022,DAMODAR INDUSTRIES LTD,"Consumer, Cyclical",DAMODAR INDUSTRIES LTD,DAMODARIN,DAMODARIN,India,NSE,INR
,,,,,,IL0008220159,DAN HOTELS CORP LTD,"Consumer, Cyclical",DAN HOTELS CORP LTD,DANH,DANH,Israel,TASE,ILS
,,,,,,AU000000DNK9,DANAKALI LTD,Basic Materials,DANAKALI LTD,DNK,DNK,Australia,ASX,AUD
,,,,,,MHY1968P1218,DANAOS CORP,Industrial,DANAOS CORP,DAC,DAC,,,
,,,,,,IL0003140139,DANEL (ADIR YEOSHUA) LTD,"Consumer, Non-cyclical",DANEL (ADIR YEOSHUA) LTD,DANE,DANE,Israel,TASE,ILS
,,,,,,INE688Y01014,DANGEE DUMS LTD,"Consumer, Non-cyclical",DANGEE DUMS LTD,DANGEE,DANGEE,India,NSE,INR
,,,,,,IT0000076502,DANIELI & CO.,Industrial,DANIELI & CO.,DAN,DAN,Italy,BVME,EUR
,,,,,,CA2359091089,DANIER LEATHER INC,"Consumer, Cyclical",DANIER LEATHER INC,DL,DL,,,
,,,,,,DK0010274414,DANSKE BANK A/S,Financial,DANSKE BANK A/S,XETRA,DSN,Germany,FWB,EUR
,,,,,,BMG2751X1314,DAOHE GLOBAL GROUP LTD,"Consumer, Cyclical",DAOHE GLOBAL GROUP LTD,915,915,,,
,,,,,,SG1CC9000009,DARCO WATER TECHNOLOGIES LTD,Industrial,DARCO WATER TECHNOLOGIES LTD,BLR,BLR,Singapore,SGX,SGD
,,,,,,US23666P1012,DARE BIOSCIENCE INC,"Consumer, Non-cyclical",DARE BIOSCIENCE INC,SCM,DARE,,,
,,,,,,CNE000000YV2,DARE POWER DEKOR HOME CO L-A,Industrial,DARE POWER DEKOR HOME CO L-A,000910,000910,China,SEHKSZSE,CNH
,,,,,,US2372451052,DARKPULSE INC,Technology,DARKPULSE INC,CURRENT,DPLS,,,
,,,,,,SG1DE2000000,DASIN RETAIL TRUST,Financial,DASIN RETAIL TRUST,CEDU,CEDU,Singapore,SGX,SGD
,,,,,,FR0014004L86,DASSAULT AVIATION SA,Industrial,DASSAULT AVIATION SA,AMN,AMN,Mexico,MEXI,MXN
,,,,,,FR0014003TT8,DASSAULT SYSTEMES SA,Technology,DASSAULT SYSTEMES SE,DSYN,DSYN,Mexico,MEXI,MXN
,,,,,,US2376012082,DATA CALL TECHNOLOGIES INC,Communications,DATA CALL TECHNOLOGIES INC,CURRENT,DCLT,,,
,,,,,,CA23761M1023,DATA COMMUNICATIONS MANAGEME,Technology,DATA COMMUNICATIONS MANAGEME,DCM,DCM,,,
,,,,,,US23786R2013,DATA STORAGE CORP,Technology,DATA STORAGE CORP,SCM,DTST,,,
,,,,,,CA23803L1040,DATABLE TECHNOLOGY CORP,Technology,DATABLE TECHNOLOGY CORP,DAC,DAC,,,
,,,,,,DE000A0JC8S7,DATAGROUP SE,Technology,DATAGROUP SE,XETRA,D6H,Germany,IBIS,EUR
,,,,,,INE365B01017,DATAMATICS GLOBAL SERVICES,Technology,DATAMATICS GLOBAL SERVICES,DATAMATIC,DATAMATIC,India,NSE,INR
,,,,,,CA23809L1085,DATAMETREX AI LTD,Technology,DATAMETREX AI LTD,DM,DM,,,
,,,,,,SG1CB7000003,DATAPULSE TECHNOLOGY LTD,"Consumer, Cyclical",DATAPULSE TECHNOLOGY LTD,BKW,BKW,Singapore,SGX,SGD
,,,,,,US2381281029,DATATEC SYSTEMS INC,,DATATEC SYSTEMS INC,DATC,DATC,,,
,,,,,,US2381342094,DATATRAK INTERNATIONAL INC,Technology,DATATRAK INTERNATIONAL INC,CURRENT,DTRK,,,
,,,,,,CA2386811004,DAVIE YARDS INC,Industrial,DAVIE YARDS INC,DAV,DAV,,,
,,,,,,US23918K1088,DAVITA INC,"Consumer, Non-cyclical",DAVITA INC,DVA,DVA,,,
,,,,,,US2395591074,DAYBREAK OIL & GAS INC,Energy,DAYBREAK OIL & GAS INC,LIMITED,DBRM,,,
,,,,,,US25154K8412,DB BASE METALS DOUBLE LONG,,DB BASE METALS DOUBLE LONG,CURRENT,BDDXF,,,
,,,,,,US25154K8586,DB BASE METALS DOUBLE SHORT,,DB BASE METALS DOUBLE SHORT,CURRENT,BOMMF,,,
,,,,,,US25154K8099,DB CRUDE OIL DOUBLE SHORT,,DB CRUDE OIL DOUBLE SHORT,DTO,DTO,,,
,,,,,,INE879I01012,DB REALTY LTD,Financial,DB REALTY LTD,DBREALTY,DBREALTY,India,NSE,INR
,,,,,,SG1L01001701,DBS GROUP HOLDINGS LTD,Financial,DBS GROUP HOLDINGS LTD,D05,D05,Singapore,SGX,SGD
,,,,,,US2330787084,DC BRANDS INTERNATIONAL INC,"Consumer, Non-cyclical",DC BRANDS INTERNATIONAL INC,HRDN,HRDN,,,
,,,,,,INE503A01015,DCB BANK LTD,Financial,DCB BANK LTD,DCBBANK,DCBBANK,India,NSE,INR
,,,,,,DE000A11QU11,DCI DATABASE FOR COMMERCE,Communications,DCI DATABASE FOR COMMERCE,XETRA,DCIK,Germany,FWB,EUR
,,,,,,INE499A01024,DCM SHRIRAM LTD,"Consumer, Non-cyclical",DCM SHRIRAM LTD,DCMSHRIRA,DCMSHRIRA,India,NSE,INR
,,,,,,INE500A01029,DCW LIMITED,Basic Materials,DCW LIMITED,DCW,DCW,India,NSE,INR
,,,,,,JP3499650004,DD HOLDINGS CO LTD,"Consumer, Cyclical",DD HOLDINGS CO LTD,3073,3073,Japan,TSEJ,JPY
,,,,,,CH0246292343,DDM HOLDING AG,Financial,DDM HOLDING AG,DDM,DDM,Sweden,SFB,SEK
,,,,,,US2422842060,DEALERADVANCE INC,Industrial,DEALERADVANCE INC,DLAD,DLAD,,,
,,,,,,CA24242T1049,DEANS KNIGHT INCOME CORP,Financial,DEANS KNIGHT INCOME CORP,DNC,DNC,,,
,,,,,,SG1CH6000001,DEBAO PROPERTY DEVELOPMENT,Financial,DEBAO PROPERTY DEVELOPMENT,BTF,BTF,Singapore,SGX,SGD
,,,,,,US24276R2067,DEBT RESOLVE INC,Communications,DEBT RESOLVE INC,DRSV,DRSV,,,
,,,,,,INE583C01021,DECCAN CEMENTS LTD,Industrial,DECCAN CEMENTS LTD,DECCANCE,DECCANCE,India,NSE,INR
,,,,,,INE137G01027,DECCAN CHRONICLE HLDGS LTD,Communications,DECCAN CHRONICLE HLDGS LTD,DCHL,DCHL,,,
,,,,,,US2434431084,DECISION DIAGNOSTICS CORP,Technology,DECISION DIAGNOSTICS CORP,LIMITED,DECN,,,
,,,,,,US24345A5074,DECISIONPOINT SYSTEMS INC/CA,Technology,DECISIONPOINT SYSTEMS INC/CA,DPSI,DPSI,,,
,,,,,,US2434981021,DECKER MANUFACTURING CORP,Industrial,DECKER MANUFACTURING CORP,LIMITED,DMFG,,,
,,,,,,US2435371073,DECKERS OUTDOOR CORP,"Consumer, Cyclical",DECKERS OUTDOOR CORP,DECK,DECK,,,
,,,,,,SG2F27986197,DECLOUT LTD,Technology,DECLOUT LTD,5UZ,5UZ,,,
,,,,,,INE501A01019,DEEPAK FERTILISERS & PETRO,Basic Materials,DEEPAK FERTILISERS & PETRO,DEEPAKFER,DEEPAKFER,India,NSE,INR
,,,,,,INE288B01029,DEEPAK NITRITE LTD,Basic Materials,DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR,India,NSE,INR
,,,,,,CA24381B1040,DEEPROCK MINERALS INC,Basic Materials,DEEPROCK MINERALS INC,DEEP,DEEP,,,
,,,,,,US24379J2006,DEER CONSUMER PRODUCTS INC,"Consumer, Cyclical",DEER CONSUMER PRODUCTS INC,NOINFO,DEER,,,
,,,,,,US2441991054,DEERE & CO,Industrial,DEERE & CO,DE,DE,,,
,,,,,,CA2446331035,DEFENSE METALS CORP,Basic Materials,DEFENSE METALS CORP,DEFN,DEFN,,,
,,,,,,GB00BYNF4J61,DEFENX PLC,Technology,DEFENX PLC,DFX,DFX,,,
