Code,Country,Currency,Exchange,ISIN,Name,Type,previousClose,previousCloseDate
CWP,Australia,AUD,AU,AU000000CWP1,Cedar Woods Properties Ltd,Common Stock,4.3,2022-07-21
CELEBRITY,India,INR,NSE,INE185H01016,Celebrity Fashions Limited,Common Stock,13.2,2022-07-21
CELESTIAL,India,INR,NSE,INE221I01017,Celestial Biolabs Limited,Common Stock,1.75,2022-07-20
CLS,South Africa,ZAC,JSE,ZAE000134854,Clicks,Common Stock,28964.0,2022-07-21
CEL,Israel,ILA,TA,IL0011015349,Cellcom Israel Ltd,Common Stock,1845.0,2022-07-21
CLDX,USA,USD,US,US15117B2025,Celldex Therapeutics Inc,Common Stock,30.85,2022-07-21
ALCLS,France,EUR,PA,FR0010425595,Cellectis,Common Stock,2.6,2022-07-21
CLT,Australia,AUD,AU,AU000000CLT6,Cellnet Group Ltd,Common Stock,0.026000000000000002,2022-07-21
CLNX,Spain,EUR,MC,ES0105066007,Cellnex Telecom SA,Common Stock,40.86,2022-07-21
7776,Japan,JPY,TSE,JP3423530009,CellSeed Inc,Common Stock,163.0,2022-07-21
CLSN,USA,USD,US,US15117N6022,Celsion Corp,Common Stock,2.22,2022-07-21
CLA,Australia,AUD,AU,AU000000CLA6,Celsius Resources Ltd,Common Stock,0.017,2022-07-21
CMBN,Switzerland,CHF,SW,CH0225173167,Cembra Money Bank AG,Common Stock,65.15,2022-07-21
CMB,Italy,EUR,MI,IT0001128047,Cembre S.p.A,Common Stock,25.9,2022-07-21
4999,Japan,JPY,TSE,JP3423400005,Cemedine Co Ltd,Common Stock,999.0,2022-07-21
CENER,Belgium,EUR,BR,BE0974303357,Cenergy Holdings SA,Common Stock,2.8449999999999998,2022-07-21
CNKS,UK,GBX,LSE,GB00B1FLHR07,Cenkos Securities Plc,Common Stock,56.5,2022-07-21
CEY,UK,GBX,LSE,JE00B5TT1872,Centamin PLC,Common Stock,79.26,2022-07-21
CAU,UK,GBX,LSE,GB0034291418,Centaur Media,Common Stock,46.5,2022-07-21
CNC,USA,USD,US,US15135B1017,Centene Corp,Common Stock,90.51,2022-07-21
CDEV,Israel,ILA,TA,IL0008100104,Cohen Dev,Common Stock,8466.0,2022-07-21
CEN,Australia,AUD,AU,NZCENE0001S6,Contact Energy Ltd,Common Stock,6.7,2022-07-21
603098,China,CNY,SHG,CNE100002GL5,Center International Group Co Ltd,Common Stock,33.2,2022-07-21
CNP,USA,USD,US,US15189T1079,CenterPoint Energy Inc,Common Stock,29.32,2022-07-21
CAML,UK,GBX,LSE,GB00B67KBV28,Central Asia Metals Plc,Common Stock,231.5,2022-07-21
CENTRALBK,India,INR,NSE,INE483A01010,Central Bank of India,Common Stock,18.6,2022-07-21
1375,Hong Kong,HKD,HK,CNE100001SS7,Central China Securities Holdings Co Ltd,Common Stock,1.2,2022-07-21
CDSL,India,INR,NSE,INE736A01011,Central Depository Services (India) Limited,Common Stock,1129.35,2022-07-21
CFBK,USA,USD,US,US12520L1098,CF Bankshares Inc,Common Stock,20.45,2022-07-21
4044,Japan,JPY,TSE,JP3425000001,Central Glass Co Ltd,Common Stock,3185.0,2022-07-21
9022,Japan,JPY,TSE,JP3566800003,Central Japan Railway Co.,Common Stock,15245.0,2022-07-21
CTP,Australia,AUD,AU,AU000000CTP7,Central Petroleum Ltd,Common Stock,0.105,2022-07-21
9740,Japan,JPY,TSE,JP3425400003,Central Security Patrols Co Ltd,Common Stock,2617.0,2022-07-21
CVCY,USA,USD,US,US1556851004,Central Valley Community Bancorp,Common Stock,15.96,2022-07-21
CNIC,UK,GBX,LSE,GB00BCCW4X83,Centranic Group Plc,Common Stock,129.0,2022-07-21
CAF,Australia,AUD,AU,AU000000CAF8,Centrepoint Alliance Ltd,Common Stock,0.295,2022-07-21
CXM,Australia,AUD,AU,AU000000CXM6,Centrex Metals Ltd,Common Stock,0.135,2022-07-21
CENTRUM,India,INR,NSE,INE660C01027,Centrum Capital Limited,Common Stock,23.85,2022-07-21
CENTUM,India,INR,NSE,INE320B01020,Centum Electronics Limited,Common Stock,423.2,2022-07-21
OU8,Singapore,SGD,SG,SG2D51973063,Centurion Corporation Limited,Common Stock,0.365,2022-07-21
CNTY,USA,USD,US,US1564921005,Century Casinos Inc,Common Stock,7.85,2022-07-21
CENTENKA,India,INR,NSE,INE485A01015,Century Enka Limited,Common Stock,430.35,2022-07-21
CENTEXT,India,INR,NSE,INE281A01026,Century Extrusions Limited,Common Stock,9.4,2022-07-21
CENTURYPLY,India,INR,NSE,INE348B01021,Century Plyboards (India) Limited,Common Stock,580.15,2022-07-21
CENTURYTEX,India,INR,NSE,INE055A01016,Century Textiles & Industries Limited,Common Stock,783.85,2022-07-21
CEK,Germany,EUR,F,DE0005407407,CeoTronics AG,Common Stock,4.62,2022-07-21
CERA,India,INR,NSE,INE739E01017,Cera Sanitaryware Limited,Common Stock,4296.05,2022-07-21
CERA,India,INR,NSE,INE739E01017,Cera Sanitaryware Limited,Common Stock,4296.05,2022-07-21
CRNT,USA,USD,US,IL0010851660,Ceragon Networks Ltd,Common Stock,2.61,2022-07-21
3696,Japan,JPY,TSE,JP3423570005,Ceres Inc,Common Stock,1256.0,2022-07-21
CWR,UK,GBX,LSE,GB00BG5KQW09,Ceres Power Holdings PLC,Common Stock,597.2,2022-07-21
