,full_name,name,symbol,Name_197,fuzz_socre1,fuzz_socre2
2839,Aeroports de Paris SA,Aeroports Paris,ADPN,ADP,25,22
16624,Adept Telecom,Adept,ADT,ADRIATIC METALS PLC-CDI,28,21
17980,Adriatic Metals Plc,Adriatic Metals,ADT,ADRIATIC METALS PLC-CDI,90,79
3790,Adtalem Global Education Inc,Adtalem Education,ATGE,ADTALEM GLOBAL EDUCATION INC,100,76
28673,Adtec Plasma Technology Co Ltd,Adtec Plasma Tech,6668,ADTEC PLASMA TECHNOLOGY CO,93,79
3834,ADTRAN Inc,ADTRAN,ADTN,ADTRAN INC,100,75
6618,Aduro Biotech Inc,Aduro Biotech Inc,ADRO,ADURO BIOTECH INC,100,100
24594,Adaro Energy Tbk,Adaro Energy,ADRO,ADURO BIOTECH INC,36,48
14828,Adval Tech Holding AG,Adval Tech Holding AG,ADVN,ADVAL TECH HOLDING AG-REG,91,91
29796,Advancecon Holdings Bhd,Advancecon Holdings,ADVN,ADVAL TECH HOLDING AG-REG,54,55
31412,Advancer Global Ltd,Advancer Global,ADVN,ADVAL TECH HOLDING AG-REG,36,35
4819,Advance Auto Parts Inc,Advance Auto Parts,AAP,ADVANCE AUTO PARTS INC,100,90
9907,Azure Health Technology Ltd,Azure Health,AAP,ADVANCE AUTO PARTS INC,24,29
17442,Australian Agri Projects,Australian Agri Projects,AAP,ADVANCE AUTO PARTS INC,52,52
28332,Advanced Media Inc,Advanced Media,3773,ADVANCED MEDIA INC,100,88
2846,Advanced Micro Devices Inc,AMD,AMD,ADVANCED MICRO DEVICES,92,16
36273,AMD Group Investment JSC,AMD Group Investment JSC,AMD,ADVANCED MICRO DEVICES,35,35
27349,Advanex Inc,Advanex Inc,5998,ADVANEX INC,100,100
6234,AdvanSix Inc,AdvanSix,ASIX,ADVANSIX INC,100,80
27639,Advantage Risk Management Co Ltd,Advantage Risk Management,8769,ADVANTAGE RISK MANAGEMENT CO,93,94
25359,Advantest Corp.,Advantest Corp.,6857,ADVANTEST CORP,100,100
21829,CITIC Securities Co Ltd,CITIC Securities,6030,ADVENTURE INC,28,28
28199,Adventure Inc,Adventure,6030,ADVENTURE INC,100,82
2177,Adventus Zinc Corp,Adventus Zinc Corp,ADZN,ADVENTUS MINING CORP,84,84
6602,Adverum Biotechnologies Inc,Adverum Biotechn,ADVM,ADVERUM BIOTECHNOLOGIES INC,100,74
9699,Advicenne,Advicenne,ADVIC,ADVICENNE,100,100
49196,WCM/BNY Mellon Focused Growth ADR,WCM/BNY Mellon Focused Growth ADR,AADR,ADVISORSHARES DORSEY WRIGHT,23,23
8340,Fng NV,Fng,FNG,ADVSRSHRS NEW TECH AND MEDIA,18,6
49207,AdvisorShares New Tech and Media,AdvisorShares New Tech and Media,FNG,ADVSRSHRS NEW TECH AND MEDIA,93,93
17905,Adairs Ltd,Adairs Ltd,ADH,ADVTECH LTD,57,57
39159,Douja Prom Addoha,Douja Prom Addoha,ADH,ADVTECH LTD,36,36
28240,Adways Inc,Adways,2489,ADWAYS INC,100,75
34353,Amtran Technology Co Ltd,Amtran Tech,2489,ADWAYS INC,18,38
19374,AVIC Aero-Engine Controls Co Ltd,Aero Engine Ctrl A,000738,AECC AERO-ENGINE CONTROL-A,66,82
7609,Aecom Technology Corporation,Aecom Technology,ACM,AECOM,30,48
36269,A Cuong Mineral Group JSC,A Cuong Mineral Group JSC,ACM,AECOM,13,13
11537,Aedes Societa di Investimento Immobiliare Quotata SpA,Aedes Societa,AED,AED OIL LTD,28,42
3891,Aegion Corp,Aegion,AEGN,AEGION CORP,100,71
11195,Aegon,Aegon,AEGN,AEGION CORP,62,62
11669,Aegon NV,Aegon,AEGN,AEGION CORP,63,62
6643,Aeglea Bio Therapeutics Inc,Aeglea Bio Therapeutics,AGLE,AEGLEA BIOTHERAPEUTICS INC,83,90
16780,Angle Plc,Angle,AGLE,AEGLEA BIOTHERAPEUTICS INC,40,26
17455,Algae.Tec Ltd,Algae.Tec Ltd,AEB,AEGON NV PERP CAP SECS FLTG RATE PFD,41,41
4942,Avalon Holdings Corp,Avalon,AWX,AEM HOLDINGS LTD,56,27
7088,Aemetis Inc,Aemetis Inc,AMTX,AEMETIS INC,100,100
30503,Amtex Ltd,Amtex,AMTX,AEMETIS INC,30,25
18710,Aeolus Tyre Co Ltd,Aeolus Tyre,600469,AEOLUS TYRE CO LTD-A,95,71
25615,Aeon Financial Service Co Ltd,Aeon Financial Service Co Ltd,8570,AEON FINANCIAL SERVICE CO LT,98,98
3888,Aeon Global Health Corp,Aeon Global,AGHC,AEON GLOBAL HEALTH CORP,100,65
38255,Arabi Holding Group Co KSCC,Arabi Holding Group,AGHC,AEON GLOBAL HEALTH CORP,36,24
25627,Aeon Mall Co Ltd,Aeon Mall Co Ltd,8905,AEON MALL CO LTD,100,100
17500,Aeon Metals Ltd,Aeon Metals Ltd,AML,AEON METALS LTD,100,100
5437,AerCap Holdings NV,AerCap Holdings NV,AER,AERCAP HOLDINGS NV,100,100
6578,Aerie Pharmace,Aerie Pharmace,AERI,AERIE PHARMACEUTICALS INC,72,72
17458,Aeris Environmental Ltd,Aeris Environmental Ltd,AEI,AERIS ENVIRONMENTAL LTD,100,100
12654,AerFinance PLC,AerFinance PLC,AERP,AERO PERFORMANCE PRODUCTS,56,56
4936,AeroCentury Corp,AeroCentury,ACY,AEROCENTURY CORP,100,81
910,ARC Resources Ltd.,ARC Resources,ARX,AEROFLEX HOLDING CORP,21,24
13144,Aeroflot,Aeroflot,AFLT,AEROFLOT PJSC,76,76
41569,Amundi Index Solutions - Amundi Floating Rate USD Corporate UCITS ETF-C USD,Amundi Floating Rate USD Corporate,AFLT,AEROFLOT PJSC,21,34
5607,Aerojet Rocketdyne Holdings Inc,Aerojet Rocketdyne,AJRD,AEROJET ROCKETDYNE HOLDINGS,93,80
18871,Aerospace Communications Holdings Co Ltd,Aerospace Communications,600677,AEROSPACE COMMUNICATIONS -A,73,96
19368,Aerospace Hi-Tech Holding Group Co Ltd,Aerospace H Tech A,000901,AEROSPACE HI-TECH HOLDINGS-A,76,78
18726,Aerosun Corp,Aerosun Corp,600501,AEROSUN CORP-A,92,92
3987,AeroVironment Inc,AeroVironment,AVAV,AEROVIRONMENT INC,100,87
3681,The AES Corporation,The AES,AES,AES CORP (THE),77,74
25604,The 77 Bank Ltd,The 77 Bank Ltd,8341,AESO HOLDING LTD,39,39
34806,Sunny Friend Environmental Technology Co Ltd,Sunny Friend,8341,AESO HOLDING LTD,30,21
1096,Aeterna Zentaris Inc,Aeterna Zentaris,AEZS,AETERNA ZENTARIS INC,100,89
3896,AEterna Zentaris Inc,Aeterna Zentaris,AEZS,AETERNA ZENTARIS INC,100,89
17878,Helios Energy Ltd,Helios Energy,HE8,AETNA INC,15,36
17878,Helios Energy Ltd,Helios Energy,HE8,AETNA INC,15,36
14830,Aevis Victoria SA,Aevis Victoria,AEVS,AEVIS VICTORIA SA,100,90
12632,Akcept Finance SA,Akcept Finance SA,AFC,AFC ENERGY PLC,26,26
35561,Asia Fiber PCL,Asia Fiber,AFC,AFC ENERGY PLC,50,33
37081,Binh Duong Agriculture and Forestry JSC,Binh Duong Agriculture,AFC,AFC ENERGY PLC,26,28
50476,Allied Capital 6.875% Notes Exp 15 Apr 2047,Allied Capital 6.875% Notes Exp 15 Apr 2047,AFC,AFC ENERGY PLC,21,21
37914,Afcon Holdings Ltd,Afcon Holdings,AFHL,AFCON HOLDINGS LTD,100,88
1093,Archon Minerals Ltd,Archon Minerals,ACS,AFFILIATED COMPUTER SERVICES,38,23
13507,ACS Actividades de Construccion y Servicios SA,ACS,ACS,AFFILIATED COMPUTER SERVICES,49,19
37116,Architects & Construction Service Corp,Architects Construction,ACS,AFFILIATED COMPUTER SERVICES,50,39
2500,AMG Packaging & Paper Company Ltd,AMG Packaging Paper,AMG,AFFILIATED MANAGERS GROUP,39,27
4784,Affiliated Managers Group Inc,Affiliated Managers,AMG,AFFILIATED MANAGERS GROUP,93,86
11680,AMG Advanced Metallurgical Group NV,AMG,AMG,AFFILIATED MANAGERS GROUP,47,14
17716,Ausmex Mining Group Ltd,Ausmex Mining,AMG,AFFILIATED MANAGERS GROUP,50,32
17455,Algae.Tec Ltd,Algae.Tec Ltd,AEB,AFFINITY ENERGY AND HEALTH L,24,24
1788,Affinity Metals Corp,Affinity Metals,AFF,AFFINITY METALS CORP,100,86
16921,Australian Foundation Investment Company Ltd,Australian Foundation,AFI,AFFINOR GROWERS INC,22,20
39220,Afric Industries Sa,Afric Industries Sa,AFI,AFFINOR GROWERS INC,32,32
34076,Acelon Chemicals & Fiber Corp,Acelon,1466,AFFLUENT PARTNERS HOLDINGS,34,19
45811,Daiwa Japan JPX-Nikkei 400 Double Inverse,Daiwa Japan JPX Nikkei 400 Dbl Inv,1466,AFFLUENT PARTNERS HOLDINGS,27,33
37635,Africa Israel Industries Ltd,Africa Israel Industries,AFID,AFI DEVELOPMENT PLC-GDR REGS,36,31
3648,Aflac Inc,Aflac,AFL,AFLAC INC,100,71
17174,AF Legal Group Ltd,AF Legal,AFL,AFLAC INC,37,47
17292,African Energy Resources Ltd,African Energy Resources,AFR,AFREN PLC,43,42
37915,Africa Israel Residences Ltd,Africa Israel Residences,AFRE,AFRICA ISRAEL RESIDENCES LTD,100,92
11738,Accsys Technologies PLC,Accsys,ACCS,AFRICAN COPPER CORP,14,24
16043,Accsys Technologies,Accsys,ACCS,AFRICAN COPPER CORP,16,24
17292,African Energy Resources Ltd,African Energy Resources,AFR,AFRICAN ENERGY RESOURCES-CDI,86,92
5112,Apollo Commercial Real Estate Finance Inc,Apollo Commercial RE Finance,ARI,AFRICAN RAINBOW MINERALS LTD,32,29
29916,A2 Milk Company Ltd,A2 Milk,ATM,AFRITIN MINING LTD,49,32
5138,AG Mortgage Investment Trust Inc,AG Mortgage Investment,MITT,AG MORTGAGE INVESTMENT TRUST,93,88
25308,"Asahi Glass Co., Ltd.",Asahi Glass,5201,AGC INC,24,22
7605,AGCO Corporation,AGCO,AGCO,AGCO CORP,72,62
10376,AGCO Corp,AGCO,AGCO,AGCO CORP,100,62
3898,Agenus Inc,Agenus,AGEN,AGENUS INC,100,75
17462,Alligator Energy Ltd,Alligator Energy Ltd,AGE,AGEX THERAPEUTICS INC,34,34
21825,Agile Group Holdings Ltd,Agile Group,3383,AGILE GROUP HOLDINGS LTD,100,63
34532,Genesis Photonics Inc,GPI Ink,3383,AGILE GROUP HOLDINGS LTD,36,32
1336,Armor Minerals Inc,Armor Minerals,A,AGILENT TECHNOLOGIES INC,43,37
3726,Agilent Technologies Inc,Agilent Technologies,A,AGILENT TECHNOLOGIES INC,100,91
35009,Areeya Property PCL,Areeya Property,A,AGILENT TECHNOLOGIES INC,19,15
3901,Agilysys Inc,Agilysys,AGYS,AGILYSYS INC,100,80
